Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.416181783429929,1.24534050085192,b2836,b3553,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b2779,b3617,b1982,b2797,b3117,b1814,b4471,b1033,b4374,b0675,b2361,b2291,b0261,b0112,b2789,b3127,b0114,b2366,b0755,b3612,b2492,b0904,b0591,b1533,b0514,b4141,b1798,,,,,,,
39,0.383759454245974,0.579479334322175,b4467,b3399,b4069,b2744,b3115,b1849,b2296,b2926,b0160,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b1982,b2210,b4374,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b1727,b2975,b0114,b3603,b0529,b2492,b0904,b3927,b1380,b2660,b0606,b2285,b1007,,,,,,,
46,0.344059932548345,0.564199799192878,b3553,b1478,b4382,b4269,b0493,b3588,b3003,b3011,b0238,b0125,b1241,b0351,b4384,b3752,b0871,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b0477,b1033,b0261,b0411,b2799,b3945,b1602,b0153,b2913,b0452,b4064,b4464,b0509,b3125,b0529,b2492,b0904,b0591,b1380,b3546,b0606,b2285,b1009
