Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.648166743579308,0.342326024787375,b3831,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b4381,b2406,b2197,b3825,b3918,b4042,b0494,b1206,,,,,,,,,,,,,,,,
21,0.648166743579308,0.34232602478775,b3831,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b4381,b2406,b2197,b3825,b3918,b0494,b1206,,,,,,,,,,,,,,,,
21,0.64816674357929,0.342326024787769,b3831,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b3449,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b1912,b0494,b1206,,,,,,,,,,,,,,,,
22,0.648166743579197,0.342326024787392,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b2440,b4374,b0675,b2361,b2291,b4138,b4123,b0621,b2197,b3918,b1912,b0494,b1206,,,,,,,,,,,,,,,
22,0.648166743579197,0.34232602478794,b2744,b1278,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b2361,b2291,b4138,b4123,b0621,b2197,b3825,b3918,b0494,b1206,,,,,,,,,,,,,,,
22,0.648166743579308,0.34232602478854,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b2361,b2291,b4138,b4123,b0621,b2197,b3825,b3918,b4042,b0494,b1206,,,,,,,,,,,,,,,
22,0.648166743579308,0.342326024787748,b3831,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b2440,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b0418,b0494,b1206,,,,,,,,,,,,,,,
22,0.648166743579308,0.342326024787754,b3831,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b3449,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b0418,b0494,b1206,,,,,,,,,,,,,,,
22,0.648166743579297,0.342326024787764,b2744,b1278,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b4138,b4123,b0621,b4381,b2406,b2197,b3825,b3918,b0494,b1206,,,,,,,,,,,,,,,
22,0.648166743579308,0.342326024787748,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b4138,b4123,b0621,b4381,b2406,b2197,b3825,b3918,b1912,b0494,b1206,,,,,,,,,,,,,,,
22,0.648166743579308,0.342326024787747,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b3449,b4374,b0675,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b1912,b0494,b1206,,,,,,,,,,,,,,,
22,0.64816533438751,0.342325280530589,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b2197,b3825,b3918,b4042,b0494,b1206,,,,,,,,,,,,,,,
22,0.647145848711621,0.341786844267744,b0474,b2518,b3831,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b3449,b4161,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b1912,b0494,b1206,,,,,,,,,,,,,,,
22,0.647145848711621,0.341786844267755,b0474,b2518,b3831,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b2440,b4161,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b1912,b0494,b1206,,,,,,,,,,,,,,,
23,0.648166743579308,0.342326024787747,b3831,b3614,b0910,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b2440,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b1912,b0494,b1206,,,,,,,,,,,,,,
23,0.648166743579197,0.342326024787937,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b3449,b4374,b0675,b2361,b2291,b4138,b4123,b0621,b2197,b3918,b0789,b1249,b0494,b1206,,,,,,,,,,,,,,
23,0.648165334387575,0.342325280530147,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b2197,b3825,b3918,b0789,b1249,b0494,b1206,,,,,,,,,,,,,,
23,0.647145848711621,0.341786844267963,b4382,b0474,b2518,b3831,b4384,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4161,b4138,b4123,b0621,b2406,b2197,b3825,b3918,b4042,b0494,b1206,,,,,,,,,,,,,,
23,0.647145848711621,0.341786844267744,b0474,b2518,b3831,b1278,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b3449,b4161,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b0418,b0494,b1206,,,,,,,,,,,,,,
23,0.64714584871151,0.341786844267936,b0474,b2518,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b3449,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b2197,b3918,b1912,b0494,b1206,,,,,,,,,,,,,,
23,0.647145848711621,0.341786844267975,b0474,b2518,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b2440,b4374,b4161,b0675,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b1912,b0494,b1206,,,,,,,,,,,,,,
23,0.648166743579297,0.342326024787758,b2744,b1278,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b3449,b4374,b0675,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b0418,b0494,b1206,,,,,,,,,,,,,,
24,0.648166743579314,0.342326024787734,b3831,b2744,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b2440,b4374,b2361,b2291,b4138,b4123,b0621,b2406,b2197,b3918,b1912,b0494,b1206,,,,,,,,,,,,,
24,0.648166743579197,0.342326024787938,b3831,b2744,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b3449,b4374,b2361,b2291,b0411,b4138,b4123,b0621,b2197,b3918,b1912,b0494,b1206,,,,,,,,,,,,,
24,0.648166743579314,0.342326024788659,b3831,b2744,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b2361,b2291,b0411,b4138,b4123,b0621,b2197,b3825,b3918,b4042,b0494,b1206,,,,,,,,,,,,,
24,0.648165334387575,0.342325280530147,b4382,b4384,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b4138,b4123,b0621,b2406,b2197,b3825,b3918,b0789,b1249,b0494,b1206,,,,,,,,,,,,,
24,0.648165334387575,0.342325280530425,b4382,b3831,b4384,b3614,b0910,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b4138,b4123,b0621,b2406,b2197,b3825,b3918,b4042,b0494,b1206,,,,,,,,,,,,,
24,0.647145848711621,0.341786844267743,b4382,b0474,b2518,b4384,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b2440,b4374,b4161,b0675,b4138,b4123,b0621,b2406,b2197,b3918,b1912,b0494,b1206,,,,,,,,,,,,,
24,0.647145848711621,0.341786844267739,b4382,b0474,b2518,b3831,b4384,b1278,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b3449,b4161,b4138,b4123,b0621,b2406,b2197,b3918,b0418,b0494,b1206,,,,,,,,,,,,,
24,0.647145848711603,0.341786844267779,b0474,b2518,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b2197,b3825,b3918,b0789,b1249,b0494,b1206,,,,,,,,,,,,,
24,0.647145848711621,0.341786844268353,b0474,b2518,b3831,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b3449,b4161,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b1912,b0494,b1206,,,,,,,,,,,,,
24,0.647145848711492,0.341786844267957,b0474,b2518,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b3449,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b2197,b3918,b0789,b1249,b0494,b1206,,,,,,,,,,,,,
24,0.647145848711621,0.34178684426774,b4382,b0474,b2518,b4384,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b3449,b4374,b4161,b0675,b4138,b4123,b0621,b2406,b2197,b3918,b1912,b0494,b1206,,,,,,,,,,,,,
25,0.647145848711632,0.341786844267724,b4382,b0474,b2518,b4384,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b4138,b4123,b0621,b2406,b2197,b3825,b3918,b0789,b1249,b0494,b1206,,,,,,,,,,,,
25,0.647145848711621,0.341786844267745,b0474,b2518,b3831,b1278,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b3449,b4161,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b0418,b0494,b1206,,,,,,,,,,,,
25,0.647145848711621,0.341786844267744,b0474,b2518,b3831,b1278,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b2440,b4161,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b0418,b0494,b1206,,,,,,,,,,,,
26,0.648166743579308,0.342326024788159,b3831,b2744,b3614,b0910,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b4374,b2361,b2291,b4138,b4123,b0621,b2406,b2197,b3825,b3918,b1912,b0494,b1206,,,,,,,,,,,
27,0.647145848711599,0.341786844267802,b0474,b2518,b3831,b2744,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b3449,b4374,b4161,b2361,b2291,b4138,b4123,b0621,b2406,b2197,b3918,b1912,b0494,b1206,,,,,,,,,,
32,0.516231074197559,0.272644860680466,b4467,b2242,b3831,b3614,b0910,b3752,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b1415,b4138,b4123,b0621,b4381,b2406,b2492,b0904,b2197,b3825,b3028,b3918,b4042,b0494,b1206,b2285,,,,,
33,0.516231074197684,0.272644860681161,b4467,b2242,b2744,b3614,b0910,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b3449,b2210,b4374,b0675,b1415,b4138,b4123,b0621,b4381,b2406,b2492,b0904,b2197,b3028,b3918,b1912,b0494,b1206,b2285,,,,
33,0.516231074197573,0.272644860679794,b2242,b3553,b3831,b3614,b0910,b3752,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b1033,b1415,b4138,b4123,b0621,b4381,b2406,b2197,b3825,b3028,b3918,b4042,b0494,b1206,b2285,b3893,b1474,,,,
34,0.516231074197672,0.27264486067831,b2242,b3553,b2744,b1278,b3614,b0910,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b1033,b4374,b0675,b1415,b4138,b4123,b0621,b4381,b2406,b2492,b0904,b2197,b3825,b3028,b3918,b0494,b1206,b2285,,,
34,0.516231074197695,0.272644860677042,b4467,b2242,b2744,b1278,b3614,b0910,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b3449,b2210,b4374,b0675,b2361,b2291,b1415,b4138,b4123,b0621,b2197,b3028,b3918,b0418,b0494,b1206,b2285,b3893,b1474,,,
35,0.516231074197573,0.272644860679794,b2242,b3553,b3831,b3614,b0910,b3752,b2781,b1004,b3713,b1109,b0046,b3236,b1612,b1611,b4122,b1759,b1033,b1415,b4014,b2976,b4138,b4123,b0621,b4381,b2406,b2197,b3825,b3028,b3918,b4042,b0494,b1206,b2285,b3893,b1474,,
35,0.51622948899107,0.272644023466149,b4467,b2242,b4382,b4384,b2744,b1278,b3614,b0910,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b2440,b4374,b0675,b1415,b4138,b4123,b0621,b2406,b2197,b3028,b3918,b0418,b0494,b1206,b2285,b3893,b1474,,
35,0.516229488991208,0.272644023463252,b2242,b3553,b0474,b2518,b2744,b1278,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b1033,b4374,b4161,b0675,b2361,b2291,b1415,b4138,b4123,b0621,b2197,b3825,b3028,b3918,b0494,b1206,b2285,b3893,b1474,,
35,0.516229488991207,0.272644023463252,b2242,b3553,b4382,b0474,b2518,b3831,b4384,b1278,b3752,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b1033,b4161,b1415,b4138,b4123,b0621,b2406,b2492,b0904,b2197,b3825,b3028,b3918,b0494,b1206,b2285,,
37,0.516231074197698,0.272644860679102,b4467,b2242,b2744,b1278,b3614,b0910,b2781,b1004,b3713,b1109,b0046,b3236,b1612,b1611,b4122,b1759,b2440,b4374,b0675,b2361,b2291,b4014,b2976,b4138,b4123,b0621,b0306,b3605,b2197,b3028,b3918,b0418,b0494,b1206,b2285,b3893,b1474
37,0.51622948899119,0.272644023463153,b4467,b2242,b0474,b2518,b3831,b2744,b3752,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b4374,b4161,b2361,b2291,b0411,b4138,b4123,b0621,b0306,b3605,b2492,b0904,b2197,b3825,b3028,b3918,b1912,b0494,b1206,b2285
