Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,
2,0.359606707775771,0.0322056617015242,PHATRDRAFT_10454,PHATRDRAFT_20310,,,,
2,0.359606707775731,0.0322056617015207,PHATRDRAFT_10454,PHATRDRAFT_859,,,,
2,0.359606707775814,0.0322056617015281,PHATRDRAFT_10454,PHATRDRAFT_48078,,,,
2,0.359606707775843,0.0322056617005632,PHATRDRAFT_10454,PHATRDRAFT_23913,,,,
2,0.359606707775732,0.0322056617015207,PHATRDRAFT_10454,PHATRDRAFT_42245,,,,
2,0.359606707775731,0.0185350490321278,PHATRDRAFT_26290,PHATRDRAFT_10454,,,,
2,0.359606707775729,0.0185350490321524,PHATRDRAFT_30145,PHATRDRAFT_10454,,,,
3,0.359606707775731,0.0322056617015207,PHATRDRAFT_45947,PHATRDRAFT_10454,PHATRDRAFT_28068,,,
4,0.35960670777573,0.105961834691668,PHATRDRAFT_16571,Phatr3_EG02613,PHATRDRAFT_42245,PHATRDRAFT_10693,,
4,0.35960670777573,0.0911692383569164,PHATRDRAFT_30145,PHATRDRAFT_16571,PHATRDRAFT_28882,Phatr3_EG02613,,
4,0.35960670777573,0.0911692383569164,PHATRDRAFT_30145,PHATRDRAFT_16571,Phatr3_EG02613,PHATRDRAFT_10693,,
4,0.359606707775732,0.0596943412100196,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_48078,,
4,0.359606707775732,0.0596943412100538,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_859,,
4,0.359606707775733,0.0476233621388523,PHATRDRAFT_30145,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_10693,,
4,0.359606707775731,0.0476233621386396,PHATRDRAFT_26290,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,,
4,0.359606707775729,0.0220707141631758,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_48078,PHATRDRAFT_10693,,
4,0.35960670777573,0.0220707141633601,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,PHATRDRAFT_10693,,
4,0.35960670777573,0.012212889624189,PHATRDRAFT_30145,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,,
4,0.35960670777573,0.0122128896243861,PHATRDRAFT_26290,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_10693,,
5,0.359606707775633,0.0434842868595618,PHATRDRAFT_29016,PHATRDRAFT_10454,PHATRDRAFT_43469,PHATRDRAFT_8945,PHATRDRAFT_41686,
5,0.359606707775731,0.0300327811919124,PHATRDRAFT_54478,PHATRDRAFT_19708,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_10693,
5,0.359606707775731,0.0300327811919266,PHATRDRAFT_19708,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_51970,
5,0.359606707775734,0.0220707141631761,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_20310,PHATRDRAFT_31367,
6,0.359606707775726,0.0434842868601951,PHATRDRAFT_42015,PHATRDRAFT_10454,PHATRDRAFT_43469,PHATRDRAFT_8945,PHATRDRAFT_41686,PHATRDRAFT_16649
