Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,
17,0.127884328568473,0.439201414473823,YPO0918,YPO2180,YPO2161,YPO0254,YPO0465,YPO3516,YPO1511,YPO3034,YPO2824,YPO3142,YPO0060,YPO3358,YPO3376,YPO0920,YPO2734,YPO3834,YPO0442
15,0.138312371812262,0.331824572279155,YPO0918,YPO2180,YPO2614,YPO3992,YPO0347,YPO0254,YPO3516,YPO1511,YPO3034,YPO3142,YPO0060,YPO3358,YPO2533,YPO1389,YPO1133,,
13,0.127290797109253,0.356381872929415,YPO0918,YPO2614,YPO3992,YPO0347,YPO0254,YPO3516,YPO1511,YPO3034,YPO3142,YPO3358,YPO0921,YPO1149,YPO0439,,,,
