Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.693849421488627,0.220434573487806,b3553,b4069,b4384,b3708,b3008,b3115,b1849,b2296,b0030,b2407,b1238,b0583,b1982,b2797,b3117,b1814,b4471,b1033,b0261,b0507,b3709,b4381,b2406,b3161,b0112,b0452,b0114,b2366,b2492,b0904,b2578,b1533,b3927,b1473,b3447,b4141,b1798,b3662,b0221,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.43557169131533,0.651680455287281,b3553,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b0160,b1982,b2797,b3117,b1814,b4471,b1033,b4374,b0675,b2361,b2291,b0261,b3709,b2239,b3161,b0112,b3453,b0452,b0114,b0509,b3125,b2366,b2492,b0904,b0591,b1533,b2835,b1473,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.549051476511858,0.441106858121418,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3708,b3008,b3752,b0871,b2407,b1238,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b2440,b0261,b0507,b4381,b2239,b2406,b0112,b2868,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b1600,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.551581022972438,0.43351731132889,b3399,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b3708,b3008,b0871,b0160,b0120,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b2975,b0114,b3603,b0886,b2366,b2492,b0904,b2578,b1533,b3821,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,
41,0.697746501757223,0.221672668064126,b3553,b4382,b4069,b4384,b2744,b3708,b3008,b3752,b2297,b2458,b2883,b1982,b2688,b2797,b3117,b1814,b4471,b1033,b0261,b0507,b3709,b4381,b2406,b3161,b0112,b2868,b4064,b4464,b0114,b2366,b2492,b0904,b3035,b2578,b1533,b3927,b3821,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,
43,0.437100493754872,0.653985387752164,b4382,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b3115,b1849,b2296,b3617,b2883,b1982,b2797,b3117,b1814,b4471,b0261,b3709,b4381,b2406,b3161,b0112,b2868,b4064,b4464,b2975,b0114,b3603,b0509,b3125,b1539,b2492,b0904,b0591,b1533,b3821,b0508,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,
44,0.435567947246082,0.651692406990353,b3399,b4382,b0238,b0125,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b3617,b0030,b2883,b1982,b0477,b2797,b3117,b1814,b4471,b0595,b1623,b0261,b0411,b0507,b3709,b2406,b3161,b0112,b0452,b2975,b0114,b3603,b2366,b2492,b0904,b2954,b1533,b1473,b4141,b1798,b3662,b0221,,,,,,,,,,,,,,,,,,,,,
44,0.487748096235107,0.391855845018081,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b3708,b3008,b0871,b2779,b0160,b1238,b1779,b0120,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0675,b2361,b0261,b4381,b2406,b0112,b2789,b3127,b2975,b0114,b3603,b0886,b1539,b2492,b0904,b2578,b1533,b3821,b4141,b1798,,,,,,,,,,,,,,,,,,,,,
44,0.489968440983612,0.385098377991123,b3399,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b3708,b3008,b0871,b2779,b2926,b3617,b0160,b0121,b1982,b2797,b3117,b1814,b4471,b3449,b0675,b2361,b0261,b4381,b2406,b0112,b2789,b3127,b2975,b0114,b3603,b0886,b1539,b2492,b0904,b2578,b1533,b0494,b4141,b1798,,,,,,,,,,,,,,,,,,,,,
45,0.372236667261524,0.556936779087807,b3553,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b0871,b2297,b2458,b2925,b2097,b3617,b0517,b1779,b2690,b1982,b2797,b3117,b1814,b4471,b1033,b4374,b0675,b2361,b2291,b0261,b0822,b3709,b3161,b0112,b1727,b0114,b0509,b3125,b1539,b2492,b0904,b1533,b3821,b1380,b1912,b1473,b0594,,,,,,,,,,,,,,,,,,,,
47,0.697767545486365,0.221679353711579,b3399,b4069,b2502,b4384,b2744,b3708,b3008,b2297,b2458,b0030,b2883,b1982,b2688,b2797,b3117,b1814,b4471,b1623,b4374,b2361,b2291,b0261,b3709,b2406,b3161,b0112,b4064,b4464,b2975,b0114,b3603,b0509,b3125,b1539,b2492,b0904,b0591,b2578,b1533,b3927,b2835,b0508,b1473,b0494,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,
47,0.529413024555062,0.115364095690793,b2836,b3553,b4069,b4384,b2744,b3708,b3008,b3614,b0910,b2297,b2458,b2781,b0030,b2407,b1759,b1982,b2797,b3117,b1814,b4471,b1033,b2440,b4374,b0675,b0261,b3709,b4381,b2406,b3161,b0112,b0114,b0509,b3125,b1539,b2492,b0904,b0591,b2578,b1533,b3927,b3918,b1473,b3447,b4141,b1798,b3662,b2285,,,,,,,,,,,,,,,,,,
