Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,
9,0.368529139608358,0.101799418450351,STM4340,STM1469,STM0761,STM1468,STM4300,STM4301,STM3599,STM4325,STM0627,,,,,,,,,,
17,0.0942883605247511,0.0141269736229016,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1620,STM0974,STM1211,STM2317,STM3179,STM1933,STM3063,STM4301,STM3599,STM4325,STM0627,,
19,0.0959302651371046,0.0127763764320512,STM3646,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1135,STM1570,STM4036,STM1211,STM2317,STM3179,STM1933,STM3063,STM4301,STM3599,STM4325,STM0627
