Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,
2,0.0398154051706224,0.0241435834928681,Rv3356c,Rv2945c,,,,,,,,
6,0.0172098528097618,0.00705981625728549,Rv2443,Rv3356c,Rv1236,Rv1098c,Rv2920c,Rv1475c,,,,
7,0.0184314673515015,0.00342648610411907,Rv1448c,Rv3010c,Rv2443,Rv3356c,Rv1098c,Rv2920c,Rv1475c,,,
9,0.0172098528097618,0.00705981625728549,Rv2443,Rv3356c,Rv1236,Rv1098c,Rv2920c,Rv1915,Rv0467,Rv3339c,Rv0066c,
10,0.0184314674278292,0.00342647785027312,Rv1448c,Rv3010c,Rv2443,Rv3356c,Rv1098c,Rv0118c,Rv1837c,Rv2920c,Rv3339c,Rv0066c
