Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.552140793681601,0.654215062200244,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0871,b3617,b0160,b1238,b1982,b0675,b2361,b0261,b0507,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,
25,0.483241699337648,1.82824880434536,b3399,b1241,b0351,b4069,b2502,b2744,b3115,b1849,b2296,b3617,b1623,b3665,b0675,b2361,b4381,b2406,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,b1511,,,,,,
25,0.452394155498052,1.73400282116843,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b2779,b0030,b2883,b1982,b3616,b3589,b0261,b4381,b2406,b0112,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,
27,0.481303498980903,1.84610358370684,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b3617,b0160,b2883,b1623,b3665,b4374,b2361,b2291,b0411,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,b3662,b1517,,,,
28,0.473970372968786,0.301101576070752,b2836,b3399,b4069,b2502,b2744,b3708,b3008,b3115,b1849,b2296,b2926,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b0114,b1539,b2492,b0904,b1533,b3927,b2285,,,
31,0.516075032328749,1.54567878277752,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b2797,b3117,b1814,b4471,b2406,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b3821,b1511,b3662
