Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.525062319101074,0.516765459355389,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b1982,b3616,b3589,b0675,b2361,b2291,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,
23,0.5095237197603,0.976488706542442,b1241,b0351,b4069,b4384,b2744,b3752,b3115,b1849,b2296,b3617,b2407,b1982,b4374,b2361,b2291,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,
41,0.372857029674185,0.414247142824941,b3553,b1478,b4382,b0238,b0125,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b1982,b0477,b1033,b0261,b0411,b2799,b3945,b1602,b0153,b0590,b0452,b2868,b4064,b4464,b0529,b2492,b0904,b1380,b2660,b0606,b2285,b1011
