Deletion size,Max growth rate,Min production rate,Deleted genes,,,
2,0.349802846846419,0.0479824065082482,PHATRDRAFT_36821,PHATRDRAFT_859,,
2,0.349802846846434,0.0479824065082504,PHATRDRAFT_36821,PHATRDRAFT_42245,,
2,0.353144630223187,0.0316269308872841,PHATRDRAFT_10454,PHATRDRAFT_23913,,
2,0.353144630223076,0.0316269308851879,PHATRDRAFT_10454,PHATRDRAFT_859,,
2,0.353355100582236,0.0305968393326311,PHATRDRAFT_30145,PHATRDRAFT_36821,,
2,0.353355100582126,0.0305968393326244,PHATRDRAFT_26290,PHATRDRAFT_36821,,
2,0.355550275799299,0.0198531343375916,PHATRDRAFT_30145,PHATRDRAFT_10454,,
3,0.349802846846418,0.0479824065082481,PHATRDRAFT_36821,PHATRDRAFT_41886,PHATRDRAFT_39681,
3,0.354839580711461,0.0233314436346635,PHATRDRAFT_10454,PHATRDRAFT_36821,PHATRDRAFT_18064,
4,0.347809954316081,0.0577360923482379,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913
4,0.356974790405874,0.0128812240445745,PHATRDRAFT_26290,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_10693
