Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775731,0.0283917239590057,PHATRDRAFT_54015,PHATRDRAFT_22803,PHATRDRAFT_21970,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775731,0.0283917239590057,PHATRDRAFT_54015,PHATRDRAFT_23723,PHATRDRAFT_21970,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775731,0.028391723958993,PHATRDRAFT_54015,PHATRDRAFT_55069,PHATRDRAFT_28181,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775731,0.0283917239590117,PHATRDRAFT_54015,PHATRDRAFT_51970,PHATRDRAFT_28181,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775731,0.028391723958993,PHATRDRAFT_54015,PHATRDRAFT_22803,PHATRDRAFT_28181,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775731,0.028391723958993,PHATRDRAFT_54015,PHATRDRAFT_19979,PHATRDRAFT_28181,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775732,0.0283917239588978,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_28181,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775731,0.0283917239590057,PHATRDRAFT_54015,PHATRDRAFT_19979,PHATRDRAFT_21970,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775729,0.0283917239589321,PHATRDRAFT_54015,PHATRDRAFT_48078,PHATRDRAFT_28181,,,,,,,,,,,,,,,,,,,,,,
3,0.35960670777573,0.0283917239589687,PHATRDRAFT_54015,PHATRDRAFT_31544,PHATRDRAFT_28181,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775708,0.0283917239593257,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_21970,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775731,0.0283917239590057,PHATRDRAFT_54015,PHATRDRAFT_41969,PHATRDRAFT_21970,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775731,0.0283917239589665,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_42245,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775731,0.0283917239587863,PHATRDRAFT_54015,PHATRDRAFT_54478,PHATRDRAFT_28181,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775731,0.0283917239590049,PHATRDRAFT_54015,PHATRDRAFT_42245,PHATRDRAFT_28181,,,,,,,,,,,,,,,,,,,,,,
3,0.35960670777573,0.0283917239589826,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_35580,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775731,0.0283917239590057,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_31436,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775735,0.0283917239593234,PHATRDRAFT_54015,PHATRDRAFT_23913,PHATRDRAFT_28181,,,,,,,,,,,,,,,,,,,,,,
3,0.359606707775731,0.028391723958993,PHATRDRAFT_54015,PHATRDRAFT_17720,PHATRDRAFT_28181,,,,,,,,,,,,,,,,,,,,,,
