Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.717216685049287,0.378736598464091,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b2361,b2291,b4138,b4123,b0621,b0452,b2835,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.717215062940138,0.378735741880167,b4382,b3831,b4384,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b0452,b3825,b3918,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0.350140572033931,0.0888856998087049,b4467,b2836,b2242,b4269,b0493,b3588,b3003,b3011,b0474,b2518,b1241,b0351,b3831,b2744,b1278,b3708,b3008,b0871,b2926,b2781,b0030,b3844,b1612,b1611,b2883,b4122,b0651,b2162,b1759,b3962,b1525,b0104,b2797,b3117,b1814,b4471,b3616,b3589,b4267,b4161,b0675,b1415,b1014,b0411,b0822,b2799,b1907,b4138,b4123,b0621,b4381,b2406,b0112,b3915,b2868,b0114,b0509,b3125,b0755,b3612,b0529,b1539,b2492,b0904,b1533,b3028,b1380,b3918,b1473,b0594,b0514,b1511,b4266,b3662,b2842,b1206
