Deletion size,Max growth rate,Min production rate,Deleted genes,,
1,0.338472156714469,0.0517187375308127,Phatr3_EG02584,,
2,0.348367223628447,0.027504342482473,PHATRDRAFT_draft521,PHATRDRAFT_31544,
3,0.34836722362842,0.0275043424824162,PHATRDRAFT_26432,PHATRDRAFT_12331,PHATRDRAFT_31436
