Deletion size,Max growth rate,Min production rate,Deleted genes,,,
3,0.103272215636069,0.00668894140657639,TM0273,TM0211,TM0545,
3,0.103272215636069,0.00668894140657639,TM0273,TM0211,TM0546,
4,0.181205718224511,0.0117484727376781,TM0209,TM0272,TM0211,TM0545
