Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,
6,0.266335711548584,0.456490242840997,PHATR_10581,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_42245,Phatr3_EG02247,,
7,0.266335711548586,0.456490242842132,PHATR_10581,PHATRDRAFT_14792,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_48078,PHATRDRAFT_42245,Phatr3_EG02247,
8,0.266335711548594,0.456490242840987,PHATR_10581,PHATRDRAFT_14792,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_41969,PHATRDRAFT_859,Phatr3_EG02247,Phatr3_EG02292
