Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,
9,0.35960670777581,1.269678642798,PHATRDRAFT_12031,PHATRDRAFT_44906,PHATRDRAFT_draft1186,PHATRDRAFT_40430,PHATRDRAFT_46664,PHATRDRAFT_42245,PHATRDRAFT_draft18,PHATRDRAFT_8945,PHATRDRAFT_41686,,,,,,,,,
12,0.359606707775736,1.26967864279449,PHATRDRAFT_12031,PHATRDRAFT_44906,PHATRDRAFT_draft1186,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_46664,PHATRDRAFT_47667,PHATRDRAFT_33266,PHATRDRAFT_47239,PHATRDRAFT_49842,PHATRDRAFT_40433,PHATRDRAFT_54528,,,,,,
18,0.359606707775762,0.810089587220268,PHATRDRAFT_26934,PHATRDRAFT_2793,PHATRDRAFT_31994,PHATRDRAFT_12031,PHATRDRAFT_44906,PHATRDRAFT_3969,PHATRDRAFT_55126,Phatr_9124,PHATRDRAFT_22357,PHATRDRAFT_50742,PHATRDRAFT_45846,PHATRDRAFT_36048,PHATRDRAFT_51703,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_43697,PHATRDRAFT_draft18
