Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.575324396217483,1.10259395926537,b3399,b4382,b1241,b0351,b4069,b2502,b4384,b2744,b2297,b2458,b3617,b1982,b0675,b2361,b0261,b4381,b0114,b0529,b2492,b0904,,,,,,,,,,
23,0.598263282749236,0.972405473645236,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0871,b3617,b0160,b1238,b1982,b0675,b2361,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,
30,0.737153940344906,0.312137614175397,b3399,b4382,b4069,b4384,b2744,b3708,b2297,b2458,b2925,b2097,b0160,b2690,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b2291,b0261,b3945,b0452,b0114,b0529,b1539,b2492,b0904,b1533,b3927
