Deletion size,Max growth rate,Min production rate,Deleted genes,,,
3,0.0507657000408268,0.0426357145834136,Rv1448c,Rv1445c,Rv1200,
4,0.0507657000408268,0.0426357145834136,Rv1448c,Rv1200,Rv1121,Rv1447c
4,0.0507657000408268,0.0426357145834136,Rv1122,Rv1844c,Rv1448c,Rv1200
