Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.842393343478185,0.208477189430668,b4214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.74680251910698,0.26373420578425,b3399,b4069,b2502,b2744,b3708,b3008,b2297,b2458,b1982,b2797,b3117,b1814,b4471,b2440,b4374,b0675,b2361,b2291,b0261,b2239,b0114,b1539,b2492,b0904,b1533,b3927,,,,
30,0.635254068174637,0.126118218310923,b3399,b2502,b2744,b3708,b3008,b2930,b4232,b3697,b3925,b0871,b1779,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b0675,b2361,b0261,b4381,b2406,b0452,b0114,b2366,b2492,b0904,b1533,b3927
