Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.671304286797178,0.292714606283075,b0871,b2925,b2097,b0521,b1779,b2690,b0505,b3945,b4381,b0511,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.673294301461497,0.869377464241664,b1241,b0351,b4069,b2297,b2458,b3617,b0521,b0505,b4381,b0511,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.673294301461497,0.869377464241664,b1241,b0351,b4069,b2297,b2458,b3617,b0521,b0505,b4381,b0511,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.673288255371997,0.86936965733211,b1241,b0351,b4069,b2297,b2458,b3617,b0521,b0507,b4381,b0511,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.6733239098888,0.869264870952552,b1241,b0351,b4069,b2297,b2458,b3617,b0521,b0261,b0505,b4381,b0511,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.673317863267593,0.869257064717186,b1241,b0351,b4069,b2297,b2458,b3617,b0521,b0261,b0507,b4381,b0511,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.673294301461456,0.869377464231204,b1241,b0351,b4069,b2297,b2458,b0521,b3616,b3589,b0505,b4381,b0511,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.673294301461376,0.869377464225245,b1241,b0351,b4069,b3115,b1849,b2296,b3617,b0521,b0505,b4381,b0511,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.673294301461456,0.869377464231204,b1241,b0351,b4069,b2297,b2458,b0521,b3616,b3589,b0505,b4381,b0511,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.673288255371997,0.869369657335135,b1241,b0351,b4069,b2297,b2458,b0521,b3616,b3589,b0507,b4381,b0511,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.673288255371997,0.869369657334663,b1241,b0351,b4069,b3115,b1849,b2296,b3617,b0521,b0507,b4381,b0511,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.673288255371997,0.869369657335135,b1241,b0351,b4069,b2297,b2458,b0521,b3616,b3589,b0507,b4381,b0511,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.673294301461369,0.869377464222595,b1241,b0351,b4069,b3115,b1849,b2296,b0521,b3616,b3589,b0505,b4381,b0511,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.673323909888784,0.869264870923415,b1241,b0351,b4069,b3115,b1849,b2296,b0521,b3616,b3589,b0261,b0505,b4381,b0511,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.673317863267593,0.86925706470017,b1241,b0351,b4069,b3115,b1849,b2296,b0521,b3616,b3589,b0261,b0507,b4381,b0511,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.668984434827526,0.863812437275976,b4382,b1241,b0351,b4069,b4384,b2297,b2458,b3617,b2407,b0521,b0507,b0511,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.566379452756616,0.731325858023525,b1241,b0351,b4069,b2297,b2458,b2779,b3617,b0521,b1779,b2913,b4381,b0511,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.566402445798574,0.731228673056612,b1241,b0351,b4069,b2297,b2458,b2779,b3617,b0521,b1779,b0261,b2913,b4381,b0511,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.673288444310645,0.869369901089645,b1241,b0351,b4069,b3115,b1849,b2296,b3124,b0521,b3616,b3589,b4381,b0511,b0114,b0529,b2492,b0904,b0514,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.673317863267603,0.869257064704848,b1241,b0351,b4069,b3115,b1849,b2296,b3617,b0521,b0261,b4381,b0511,b0114,b0509,b3125,b0529,b2492,b0904,b0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.687007779194633,0.687101555757528,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b0871,b3617,b0521,b0505,b4381,b0511,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.687007779194633,0.687101555757528,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b0871,b3617,b0521,b0505,b4381,b0511,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.6870332327903,0.686973117381929,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b0871,b3617,b0521,b0261,b0507,b4381,b0511,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.687001484307827,0.687095259982158,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b0871,b0521,b3616,b3589,b0507,b4381,b0511,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.658244410986137,0.351794868035872,b4069,b2930,b4232,b3697,b3925,b3115,b1849,b2296,b2779,b0521,b3946,b0825,b2913,b4381,b0511,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.658244410986143,0.351794868190564,b1241,b0351,b4069,b2297,b2458,b2925,b2097,b0521,b3946,b0825,b0507,b2913,b0511,b0114,b0755,b3612,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.718196768568687,0.267861487411892,b3399,b2744,b0871,b2779,b2925,b2097,b0160,b0521,b3946,b0825,b4374,b2361,b2291,b0507,b0511,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.704394225573167,0.142757852375492,b1241,b0351,b4069,b2930,b4232,b3697,b3925,b2297,b2458,b3617,b0521,b3946,b0825,b0507,b4381,b0511,b0114,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.56637945275663,0.731325857670689,b1241,b0351,b4069,b3115,b1849,b2296,b2926,b3617,b3124,b0521,b4388,b4381,b0511,b0114,b0755,b3612,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.687001484307883,0.687095259983926,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b0871,b3617,b0521,b4381,b0511,b0114,b0509,b3125,b0529,b2492,b0904,b0508,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.6788771962451,0.59126537856526,b1241,b0351,b4069,b3708,b2297,b2458,b3617,b0521,b2797,b3117,b1814,b4471,b0505,b4381,b0511,b0114,b1539,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.678871049473114,0.59126002505656,b1241,b0351,b4069,b3708,b2297,b2458,b3617,b0521,b2797,b3117,b1814,b4471,b0507,b4381,b0511,b0114,b1539,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.688082204746153,0.448497485713263,b4382,b0238,b0125,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b3617,b0521,b0477,b0261,b0505,b0511,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.65824382249367,0.351797533899145,b1241,b0351,b4069,b3115,b1849,b2296,b2925,b2097,b3124,b0521,b0907,b3946,b0825,b0511,b0114,b0755,b3612,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.658244410986137,0.351794868240559,b1241,b0351,b4069,b2930,b4232,b3697,b3925,b3115,b1849,b2296,b2779,b0521,b2690,b3945,b4388,b0511,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.668990403867751,0.863820144719945,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b0521,b3616,b3589,b4374,b2361,b2291,b0505,b0511,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.668984434827524,0.863812437289063,b3553,b4382,b1241,b0351,b4069,b4384,b2297,b2458,b2407,b0521,b3616,b3589,b1033,b0511,b0114,b0509,b3125,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.563171788000247,0.727184025990851,b2066,b1241,b0351,b4069,b4384,b2297,b2458,b2779,b2926,b2407,b0521,b2498,b3616,b3589,b4388,b0511,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.68700148430792,0.687095260022304,b3553,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b0871,b3617,b0521,b1033,b4381,b0511,b0114,b0509,b3125,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.683203884445872,0.683297141790708,b4269,b0493,b3588,b3003,b3011,b2066,b1241,b0351,b4384,b0871,b3617,b2407,b0521,b2498,b0505,b0511,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
