Deletion size,Max growth rate,Min production rate,Deleted genes,,
3,0.347559644548339,0.0589611673579526,PHATRDRAFT_16490,PHATRDRAFT_29658,PHATRDRAFT_48078
3,0.34755964454834,0.0589611673579529,PHATRDRAFT_16490,PHATRDRAFT_29658,PHATRDRAFT_42245
