Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0409814255919213,0.00738875115778335,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1188,Rv1712,Rv2920c,Rv0694,Rv0859,,,,,,,,,,,,,,
11,0.0409814256613098,0.00738888791156725,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1902c,Rv2332,Rv1240,Rv1188,Rv1712,Rv2920c,Rv0859,,,,,,,,,,,,,,
12,0.0453414868742345,0.00817506633077037,Rv2443,Rv1908c,Rv2476c,Rv1188,Rv1712,Rv1098c,Rv1872c,Rv2920c,Rv3150,Rv2780,Rv0084,Rv0859,,,,,,,,,,,,,
12,0.0229273498684609,0.00413376148739912,Rv3010c,Rv2443,Rv1908c,Rv2476c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0084,Rv0859,,,,,,,,,,,,,
13,0.0229273498962163,0.00413374337514753,Rv3010c,Rv2443,Rv2476c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv1595,Rv2780,Rv0084,Rv1905c,Rv0859,,,,,,,,,,,,
13,0.0453414868534178,0.0081748723376107,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1908c,Rv2476c,Rv1188,Rv1712,Rv1098c,Rv2920c,Rv2780,Rv0084,Rv0859,,,,,,,,,,,,
13,0.0229273498962163,0.00413390119082662,Rv3010c,Rv2443,Rv1908c,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv1872c,Rv2920c,Rv3150,Rv2780,Rv0084,Rv0859,,,,,,,,,,,,
13,0.0453414867979073,0.00817504256630015,Rv2443,Rv2476c,Rv1188,Rv1712,Rv1098c,Rv1872c,Rv2920c,Rv3150,Rv1595,Rv2780,Rv0084,Rv1905c,Rv0859,,,,,,,,,,,,
13,0.025111672780734,0.00452725263102866,Rv3010c,Rv2443,Rv1908c,Rv1826,Rv2476c,Rv1832,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0859,,,,,,,,,,,,
13,0.0229273499517275,0.00413381287261533,Rv3010c,Rv2443,Rv1908c,Rv2476c,Rv2332,Rv1240,Rv1188,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0084,Rv0859,,,,,,,,,,,,
13,0.0453414868534178,0.00817483580672483,Rv2443,Rv1908c,Rv2476c,Rv2332,Rv1240,Rv1188,Rv1712,Rv1872c,Rv2920c,Rv3150,Rv2780,Rv0084,Rv0859,,,,,,,,,,,,
13,0.0341693801432611,0.00616066249642484,Rv2443,Rv1908c,Rv3356c,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0859,Rv1475c,,,,,,,,,,,,
13,0.0335431024613171,0.00604778678123073,Rv2443,Rv2697c,Rv2967c,Rv1902c,Rv1188,Rv1098c,Rv0211,Rv1837c,Rv2920c,Rv0694,Rv3150,Rv0084,Rv0859,,,,,,,,,,,,
13,0.0335431025168283,0.00604776871253441,Rv2443,Rv2697c,Rv2967c,Rv1902c,Rv1240,Rv1188,Rv1098c,Rv0211,Rv2920c,Rv0694,Rv3150,Rv0084,Rv0859,,,,,,,,,,,,
13,0.025111672780734,0.0045272100244539,Rv3010c,Rv2443,Rv1908c,Rv1826,Rv2476c,Rv2211c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0859,,,,,,,,,,,,
13,0.0335431025172613,0.00604776863942931,Rv2443,Rv2697c,Rv2967c,Rv1902c,Rv2332,Rv1240,Rv1188,Rv0211,Rv2920c,Rv0694,Rv3150,Rv0084,Rv0859,,,,,,,,,,,,
14,0.0346884712679529,0.00625442831876007,Rv2443,Rv1908c,Rv1826,Rv2476c,Rv1902c,Rv2211c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0859,Rv1475c,,,,,,,,,,,
14,0.0229273498962165,0.00413393997596145,Rv3010c,Rv2443,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv1872c,Rv2920c,Rv3150,Rv1595,Rv2780,Rv0084,Rv1905c,Rv0859,,,,,,,,,,,
14,0.0453414868881128,0.00817503552896721,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2476c,Rv1188,Rv1712,Rv1098c,Rv2920c,Rv1595,Rv2780,Rv0084,Rv1905c,Rv0859,,,,,,,,,,,
14,0.0453414868742345,0.00817502984576424,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1908c,Rv2476c,Rv2332,Rv1240,Rv1188,Rv1712,Rv2920c,Rv2780,Rv0084,Rv0859,,,,,,,,,,,
14,0.0273412546477053,0.00492983281694332,Rv2495c,Rv2215,Rv2443,Rv1902c,Rv0162c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv3601c,Rv0084,Rv2899c,Rv0859,,,,,,,,,,,
14,0.0229273498962163,0.00413263720159732,Rv3010c,Rv2443,Rv2476c,Rv2332,Rv1240,Rv1188,Rv2920c,Rv0694,Rv3150,Rv1595,Rv2780,Rv0084,Rv1905c,Rv0859,,,,,,,,,,,
14,0.0453414869297456,0.00817487300305992,Rv2443,Rv2476c,Rv2332,Rv1240,Rv1188,Rv1712,Rv1872c,Rv2920c,Rv3150,Rv1595,Rv2780,Rv0084,Rv1905c,Rv0859,,,,,,,,,,,
14,0.0251116727807341,0.00452766279785565,Rv3010c,Rv3303c,Rv2443,Rv1826,Rv2476c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv1595,Rv2780,Rv1905c,Rv0859,,,,,,,,,,,
14,0.0336293099093311,0.00606343659149358,Rv2443,Rv1908c,Rv3356c,Rv2476c,Rv1902c,Rv1240,Rv1188,Rv1098c,Rv0211,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0859,,,,,,,,,,,
14,0.0341693801033628,0.0061608532194762,Rv2443,Rv3356c,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv1595,Rv2780,Rv1905c,Rv0859,Rv1475c,,,,,,,,,,,
14,0.0229273498268276,0.00413393882985841,Rv3319,Rv0247c,Rv3010c,Rv0248c,Rv2443,Rv1908c,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv2920c,Rv2780,Rv0084,Rv0859,,,,,,,,,,,
14,0.0273412546477056,0.00492960226799851,Rv2495c,Rv2215,Rv2443,Rv0753c,Rv1902c,Rv0162c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv0084,Rv2899c,Rv0859,,,,,,,,,,,
14,0.0341693801293832,0.00616071439970468,Rv2443,Rv1908c,Rv3356c,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv0191,Rv1872c,Rv2920c,Rv3150,Rv2780,Rv0859,Rv1475c,,,,,,,,,,,
14,0.0336293099093311,0.00606335292228124,Rv2443,Rv1908c,Rv3356c,Rv2476c,Rv1902c,Rv2332,Rv1240,Rv1188,Rv0211,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0859,,,,,,,,,,,
14,0.0229273497851943,0.00413371401407574,Rv3010c,Rv2443,Rv1908c,Rv2476c,Rv1902c,Rv2332,Rv1240,Rv1188,Rv1872c,Rv2920c,Rv3150,Rv2780,Rv0084,Rv0859,,,,,,,,,,,
14,0.0337396635233599,0.00608323173099773,Rv2443,Rv1908c,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0084,Rv2899c,Rv0859,Rv1475c,,,,,,,,,,,
14,0.0229273498684609,0.00413270077043467,Rv3319,Rv0247c,Rv3010c,Rv0248c,Rv2443,Rv1908c,Rv2476c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv2780,Rv0084,Rv0859,,,,,,,,,,,
14,0.0335431025168276,0.00604777387859856,Rv2443,Rv2697c,Rv2967c,Rv1902c,Rv2332,Rv1240,Rv1188,Rv0211,Rv0191,Rv1872c,Rv2920c,Rv3150,Rv0084,Rv0859,,,,,,,,,,,
14,0.0335431025168275,0.00604776859611458,Rv2443,Rv2697c,Rv2967c,Rv1902c,Rv1188,Rv1098c,Rv0211,Rv2920c,Rv0694,Rv3150,Rv1915,Rv0467,Rv0084,Rv0859,,,,,,,,,,,
14,0.0341693800877497,0.00616041385904456,Rv2443,Rv1908c,Rv3356c,Rv2476c,Rv1902c,Rv2332,Rv1240,Rv1188,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0859,Rv1475c,,,,,,,,,,,
14,0.0346884712679529,0.00625408438559763,Rv3303c,Rv2443,Rv1908c,Rv1826,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0859,Rv1475c,,,,,,,,,,,
14,0.0336293099093311,0.00606348529374702,Rv2443,Rv1908c,Rv3356c,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv0211,Rv1837c,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0859,,,,,,,,,,,
14,0.0251116726697118,0.00452761824676361,Rv3010c,Rv2443,Rv1908c,Rv1826,Rv2476c,Rv2332,Rv1240,Rv1832,Rv1188,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0859,,,,,,,,,,,
14,0.0251116727807341,0.00452762077192447,Rv3010c,Rv2443,Rv1826,Rv2476c,Rv1832,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv1595,Rv2780,Rv1905c,Rv0859,,,,,,,,,,,
14,0.0335431025168276,0.00604777385920003,Rv2443,Rv2697c,Rv2967c,Rv1902c,Rv1188,Rv1098c,Rv0211,Rv1837c,Rv0191,Rv1872c,Rv2920c,Rv3150,Rv0084,Rv0859,,,,,,,,,,,
15,0.0341693801432611,0.00616054366090808,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1908c,Rv3356c,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv2780,Rv0859,Rv1475c,,,,,,,,,,
15,0.0273412546477056,0.00492974512682185,Rv2495c,Rv2215,Rv2443,Rv1902c,Rv2332,Rv0162c,Rv1240,Rv1188,Rv2920c,Rv0694,Rv3150,Rv3601c,Rv0084,Rv2899c,Rv0859,,,,,,,,,,
15,0.0346446650255263,0.00624650109185773,Rv2443,Rv0069c,Rv2476c,Rv1188,Rv1098c,Rv0211,Rv2920c,Rv0694,Rv3150,Rv1595,Rv2780,Rv0084,Rv1905c,Rv0859,Rv1077,,,,,,,,,,
15,0.0202619533000513,0.00365321294670257,Rv3010c,Rv2443,Rv3356c,Rv0069c,Rv2476c,Rv1188,Rv1098c,Rv1872c,Rv2920c,Rv3150,Rv1595,Rv2780,Rv1905c,Rv0859,Rv1077,,,,,,,,,,
15,0.0340575950479845,0.00614022015343973,Rv2443,Rv1908c,Rv1826,Rv2476c,Rv1902c,Rv2332,Rv2211c,Rv1240,Rv1188,Rv0211,Rv2920c,Rv0694,Rv3150,Rv2780,Rv0859,,,,,,,,,,
15,0.0273412546477056,0.00492960978260443,Rv2495c,Rv2215,Rv2443,Rv0753c,Rv1902c,Rv2332,Rv0162c,Rv1240,Rv1188,Rv2920c,Rv0694,Rv3150,Rv0084,Rv2899c,Rv0859,,,,,,,,,,
15,0.0229273498962165,0.00413382311462315,Rv3319,Rv0247c,Rv3010c,Rv0248c,Rv2443,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv2920c,Rv1595,Rv2780,Rv0084,Rv1905c,Rv0859,,,,,,,,,,
15,0.0453414868464796,0.00817483451866597,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2476c,Rv2332,Rv1240,Rv1188,Rv1712,Rv2920c,Rv1595,Rv2780,Rv0084,Rv1905c,Rv0859,,,,,,,,,,
15,0.0336293099023923,0.00606296233154147,Rv2443,Rv1908c,Rv3356c,Rv2476c,Rv1902c,Rv2332,Rv1240,Rv1188,Rv0211,Rv0191,Rv1872c,Rv2920c,Rv3150,Rv2780,Rv0859,,,,,,,,,,
15,0.0341693801432617,0.00616072049575913,Rv2443,Rv3356c,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv0191,Rv1872c,Rv2920c,Rv3150,Rv1595,Rv2780,Rv1905c,Rv0859,Rv1475c,,,,,,,,,,
15,0.0251116727391008,0.00452761290467827,Rv3010c,Rv2443,Rv1826,Rv2476c,Rv2332,Rv2211c,Rv1240,Rv1188,Rv2920c,Rv0694,Rv3150,Rv1595,Rv2780,Rv1905c,Rv0859,,,,,,,,,,
15,0.0334236269830983,0.00425943546409329,Rv1448c,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2697c,Rv2967c,Rv1902c,Rv1188,Rv1098c,Rv0211,Rv2920c,Rv0694,Rv0084,Rv0859,,,,,,,,,,
15,0.0336293099093319,0.00606342108722211,Rv2443,Rv3356c,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv0211,Rv1837c,Rv2920c,Rv0694,Rv3150,Rv1595,Rv2780,Rv1905c,Rv0859,,,,,,,,,,
15,0.0273412546477056,0.00492960226799851,Rv0843,Rv0462,Rv2496c,Rv2443,Rv0753c,Rv1902c,Rv0162c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv0084,Rv2899c,Rv0859,,,,,,,,,,
15,0.020261953244541,0.00365319987049044,Rv3010c,Rv2443,Rv3356c,Rv0069c,Rv2476c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv1595,Rv2780,Rv1905c,Rv0859,Rv1077,,,,,,,,,,
15,0.0273412546477053,0.00492983281694332,Rv0843,Rv0462,Rv2495c,Rv2443,Rv1902c,Rv0162c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv3601c,Rv0084,Rv2899c,Rv0859,,,,,,,,,,
15,0.0337396635233599,0.00608328513254147,Rv2443,Rv2476c,Rv1902c,Rv1188,Rv1098c,Rv2920c,Rv0694,Rv3150,Rv1595,Rv2780,Rv0084,Rv2899c,Rv1905c,Rv0859,Rv1475c,,,,,,,,,,
