Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,
5,0.470206940108138,0.047504301853314,STM2183,STM0980,STM1750,STM3968,STM2498,,,,,
5,0.470206940108141,0.0475043018487152,STM2927,STM0980,STM1750,STM3968,STM2498,,,,,
5,0.470206940108139,0.0475043018571795,STM0413,STM2122,STM0980,STM1750,STM2498,,,,,
5,0.470206940108142,0.0475043018487154,STM2421,STM2122,STM0980,STM1750,STM2498,,,,,
5,0.471947866860945,0.0353448836715461,STM0413,STM2122,STM0980,STM4568,STM2498,,,,,
5,0.471947866860945,0.0353448836710167,STM2421,STM2122,STM0980,STM4568,STM2498,,,,,
5,0.471947866860945,0.0353448836711214,STM2927,STM0980,STM4568,STM3968,STM2498,,,,,
5,0.471947866860945,0.0353448836716446,STM2183,STM0980,STM4568,STM3968,STM2498,,,,,
5,0.471947866860945,0.00351412381758925,STM2122,STM0980,STM4568,STM4569,STM2498,,,,,
5,0.470206940108144,0.00350116087852825,STM2122,STM0980,STM1750,STM4569,STM2498,,,,,
6,0.470192190367964,0.0475028117045898,STM2927,STM0980,STM4568,STM4570,STM4569,STM2498,,,,
6,0.470192190367962,0.0475028117045896,STM2927,STM0980,STM1750,STM4570,STM4569,STM2498,,,,
6,0.470192190367964,0.0475028117045899,STM2927,STM0980,STM1750,STM4569,STM0208,STM2498,,,,
6,0.471895712252592,0.0353409777341649,STM2927,STM0980,STM2332,STM3968,STM2498,STM4559_S,,,,
6,0.471880856374945,0.0353398651551484,STM2927,STM0980,STM4568,STM4569,STM0208,STM2498,,,,
7,0.470192190367962,0.0475028117045897,STM2927,STM0980,STM4569,STM2332,STM0208,STM2498,STM4559_S,,,
7,0.470192190367963,0.0475028117005837,STM2183,STM0980,STM1750,STM4570,STM4569,STM2422,STM2498,,,
7,0.471895712252592,0.0353409777341649,STM2927,STM2421,STM2122,STM0980,STM2332,STM2498,STM4559_S,,,
7,0.471895712252592,0.0353409777341651,STM2927,STM0413,STM2122,STM0980,STM2332,STM2498,STM4559_S,,,
7,0.47182871657528,0.0353359603273977,STM2927,STM0980,STM4570,STM4569,STM2332,STM2498,STM4559_S,,,
8,0.272235168805706,0.0203884268265632,STM2421,STM2122,STM0980,STM4578,STM2498,STM0733,STM0007,STM2473,,
8,0.272235168805708,0.020388426827112,STM2421,STM2122,STM0980,STM0977,STM2498,STM0733,STM0007,STM2473,,
8,0.272235168805706,0.0203884268265632,STM2421,STM2122,STM0980,STM3062,STM2498,STM0733,STM0007,STM2473,,
9,0.419576864706977,0.0423892212761898,STM2927,STM0980,STM1750,STM0170,STM0317,STM4569,STM4578,STM2498,STM0733,
9,0.114577626554171,0.0115756057443281,STM2927,STM0980,STM3866,STM0170,STM0317,STM4569,STM2332,STM2498,STM4559_S,
9,0.114577626554173,0.0115756057444681,STM2421,STM2183,STM0980,STM4568,STM4570,STM3866,STM0317,STM4569,STM2498,
10,0.114507506322101,0.0124211444945267,STM2421,STM0483,STM2183,STM0980,STM4568,STM3866,STM0170,STM0317,STM4569,STM2498
