Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,
7,0.82718193938028,0.27354658580724,b0945,b4138,b4123,b0621,b0612,b0723,b1206,,,,,,
13,0.677571098869818,0.494500464047292,b2925,b2097,b3946,b0825,b0010,b4138,b4123,b0621,b0612,b0529,b0723,b1206,b2285
