Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,
7,0.81936228088088,0.270960648200464,b0945,b4138,b4123,b0621,b0612,b0723,b1206,,,,,,,,,,,,,,,,,,
25,0.494237119300473,1.08202256498016,b1241,b0351,b2930,b4232,b3697,b3925,b0871,b3115,b1849,b2296,b1779,b2690,b0614,b3945,b4138,b4123,b0621,b0452,b0612,b0755,b3612,b1539,b0723,b1206,b2285
