Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.803143615150374,0.837511736890193,b3942,b1732,b1479,b3236,b2463,b2210,b3551,b4219,b1832,b1778,b1710,b2480,b1206,b0606,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.803291116614726,0.834529501668328,b3942,b1732,b1479,b3844,b3236,b2463,b2210,b3551,b4219,b1832,b1778,b1710,b2480,b1206,b0606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.583128744444276,2.16016511978352,b3942,b1732,b1241,b0351,b1479,b0871,b2925,b2097,b3844,b3236,b2463,b3962,b3946,b2210,b0825,b4267,b3551,b2799,b4219,b1832,b1778,b4381,b0114,b2492,b0904,b1710,b2480,b0508,b4266,b1206,,,,,,,,,,,,,,,
30,0.588863330509705,0.20237789983469,b4467,b1478,b3942,b1732,b1241,b0351,b3831,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b2463,b2210,b3551,b3945,b1602,b4219,b1832,b1778,b3915,b0529,b1380,b1710,b2480,b1206,b0606,b2285,,,,,,,,,,,,,,,
31,0.583128744444231,2.16016512026794,b3553,b3942,b1732,b1241,b0351,b1479,b0871,b2925,b2097,b3844,b3236,b2690,b2463,b3962,b2210,b4267,b1033,b3551,b3945,b4219,b1832,b1778,b4381,b0114,b2492,b0904,b0325,b1710,b2480,b4266,b1206,,,,,,,,,,,,,,
31,0.570294037520504,0.728737404451504,b4467,b1478,b3942,b1732,b1241,b0351,b2779,b3844,b1004,b3713,b1109,b0046,b2463,b2210,b3551,b2799,b3945,b1602,b4219,b1832,b1778,b3915,b0452,b0529,b1380,b1710,b2480,b1206,b0606,b2285,b1010,,,,,,,,,,,,,,
31,0.607540094679793,0.633537950394662,b3553,b3942,b1732,b1479,b0871,b2925,b2097,b3617,b3236,b2463,b3962,b1525,b3946,b2210,b0825,b4267,b1033,b3551,b2799,b0726,b4219,b1832,b1778,b0114,b2492,b0904,b1710,b2480,b4266,b1206,b4209,,,,,,,,,,,,,,
31,0.578091655866617,0.60057248412953,b4467,b1478,b3942,b1732,b1241,b0351,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b2463,b2210,b3551,b3945,b1602,b0153,b4219,b1832,b1778,b0529,b0591,b1380,b1710,b2480,b1206,b0606,b2285,b1010,,,,,,,,,,,,,,
32,0.572973531386512,0.650571336784158,b3553,b1478,b3942,b1732,b1241,b0351,b2779,b3844,b1004,b3713,b1109,b0046,b2463,b0937,b2210,b1033,b3551,b2799,b3945,b1602,b4219,b1832,b1778,b0529,b1380,b1710,b2480,b1695,b1206,b0606,b2285,b1007,,,,,,,,,,,,,
32,0.572570484770544,0.597071921095252,b3553,b1478,b3942,b1732,b1241,b0351,b2779,b1004,b3713,b1109,b0046,b3236,b2463,b2210,b1033,b3551,b1602,b4219,b1832,b1778,b3915,b0529,b1380,b1710,b2480,b1771,b1206,b0606,b0221,b2285,b1009,b4209,,,,,,,,,,,,,
32,0.582455522335462,0.424445532053233,b4467,b1478,b3942,b1732,b1241,b0351,b1004,b3713,b1109,b0046,b2463,b2210,b3551,b2799,b3945,b1602,b4219,b1832,b1778,b3915,b0755,b3612,b0529,b1380,b1710,b2480,b1695,b1206,b0606,b2285,b1010,b4209,,,,,,,,,,,,,
