Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,
1,0.22149775335728,0.709927986727334,TM0066,,,,,
1,0.22149775335728,0.709927986727333,TM0428,,,,,
5,0.205610333370874,0.991249154236641,TM1255,TM1698,TM0540,TM0209,TM0272,
5,0.209046526938148,0.933883245224918,TM0540,TM0209,TM0272,TM0128,TM1867,
6,0.20561033337089,0.991249154240223,TM1255,TM1698,TM0209,TM0272,TM1867,TM0542
