Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,
11,0.0157462717749147,0.00215399619573407,STM1749,STM2463,STM4275,STM3866,STM3709,STM0974,STM0152,STM0542,STM4569,STM2338,STM2466,,,,
12,0.0159823964128275,0.00101177312589507,STM1749,STM2463,STM3680,STM4568,STM4570,STM3866,STM3709,STM0974,STM0152,STM0542,STM0935,STM2422,,,
15,0.327099665446237,0.397546466194051,STM2927,STM1749,STM2463,STM4275,STM2009,STM4570,STM3709,STM0974,STM0152,STM0150,STM0542,STM2338,STM2466,STM2422,STM1651
