Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.605551288215742,0.984656974972914,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b0871,b3617,b2407,b1982,b3665,b2406,b0114,b0529,b2492,b0904,b1511,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.605600922954655,0.984331930960304,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0871,b3617,b0160,b1982,b4374,b0675,b2361,b2291,b0261,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.583312301348658,1.11640870487192,b3942,b1732,b1241,b0351,b4069,b4384,b0512,b3115,b1849,b2296,b0030,b2407,b1982,b3616,b3589,b4381,b2406,b0114,b0529,b2492,b0904,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.584258135747858,1.10481898891482,b3399,b3942,b1732,b1241,b0351,b4069,b2502,b2744,b0512,b2297,b2458,b1982,b3616,b3589,b0675,b2361,b4381,b2406,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.605553440695161,0.984660475016108,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0512,b0871,b3617,b0030,b2407,b1982,b4381,b2406,b0511,b0114,b0529,b2492,b0904,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.605553440695147,0.984660475016777,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b3617,b0030,b2407,b1982,b0511,b0114,b0529,b2492,b0904,b0516,b1511,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.605600922954641,0.984331930981648,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b3752,b0871,b3617,b2407,b1982,b4374,b2361,b2291,b0261,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.605600922954669,0.9843319309639,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0871,b0160,b1982,b3616,b3589,b0675,b2361,b2291,b0261,b4381,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.60560092295465,0.984331930960318,b3399,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b3617,b0160,b1982,b0675,b2361,b2291,b0261,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.605600922954662,0.984331930961857,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.405436709929935,0.775970387054249,b4382,b0474,b2518,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b2779,b3617,b2407,b1982,b2406,b0114,b0529,b2492,b0904,b0516,b3662,b1517,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.58329517980759,1.11826056257152,b3399,b4382,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b3617,b2883,b1982,b0675,b2361,b4381,b0511,b4064,b4464,b0114,b0529,b2492,b0904,b0515,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.583324141516598,1.11818542171837,b4382,b0238,b0125,b1241,b0351,b4069,b4384,b2744,b3752,b2297,b2458,b3617,b2883,b1982,b0477,b0261,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.583338570661832,1.11795291219929,b3399,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b0030,b1238,b2883,b1982,b3616,b3589,b1623,b0261,b0411,b4381,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.605551288215769,0.984656974978902,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0871,b0160,b1238,b1982,b3616,b3589,b0675,b2361,b4381,b2868,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.605551288215762,0.984656974973061,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b3617,b0030,b2883,b1982,b4381,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
