Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.579982106498836,0.611675712026758,b2836,b0474,b2518,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b4138,b4123,b0621,b4381,b2406,b3915,b2197,b3918,b4042,b1695,b1206,b4209,,,,,,,,,,,,,,,,
25,0.408409812346076,0.431333365040441,b2836,b3831,b1278,b3614,b0910,b3752,b4152,b2781,b3844,b1612,b1611,b4122,b1759,b1852,b4388,b4138,b4123,b0621,b2223,b4381,b2406,b2197,b3918,b1206,b2285,,,,,,,,,,,,,,,,
25,0.381735259000492,0.403161600943218,b2836,b3831,b1278,b3614,b0910,b3752,b4152,b2781,b3844,b1232,b1612,b1611,b4122,b2029,b1759,b4138,b4123,b0621,b2223,b4381,b2406,b2197,b3918,b1206,b2285,,,,,,,,,,,,,,,,
25,0.66266743670425,0.349984493358226,b0474,b2518,b3831,b2744,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b2361,b2291,b0411,b1701,b1805,b4138,b4123,b0621,b2197,b3918,b4042,b1206,,,,,,,,,,,,,,,,
25,0.662667436704359,0.349984493358196,b4382,b0474,b2518,b3831,b4384,b1278,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b4161,b1701,b1805,b4138,b4123,b0621,b2406,b2197,b3918,b1206,,,,,,,,,,,,,,,,
26,0.459765778797003,0.484291754428156,b2836,b3831,b1278,b3614,b0910,b3752,b4152,b2297,b2458,b2781,b0767,b3844,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2913,b4381,b2406,b2197,b3918,b1695,b1206,,,,,,,,,,,,,,,
26,0.408409457277241,0.430195855449204,b2836,b4382,b3831,b4384,b1278,b3614,b0910,b3752,b4152,b2781,b3844,b1612,b1611,b4122,b1759,b1852,b4388,b4138,b4123,b0621,b2406,b2197,b3918,b1695,b1206,b2285,,,,,,,,,,,,,,,
27,0.579918713510535,0.612406533066711,b2836,b0474,b2518,b2744,b4152,b2781,b3844,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b0153,b0590,b2197,b3918,b0789,b1249,b1695,b1206,,,,,,,,,,,,,,
27,0.231849161150242,0.244862576343089,b2836,b0474,b2518,b3831,b2744,b3752,b4152,b2781,b3844,b1612,b1611,b4122,b1759,b4374,b4161,b2361,b2291,b0411,b4138,b4123,b0621,b2223,b3731,b2197,b3918,b4042,b1206,,,,,,,,,,,,,,
28,0.430316165326622,0.227199964171438,b0474,b2518,b3831,b2744,b3752,b4152,b2781,b3844,b1612,b1611,b4122,b1759,b4374,b4161,b2361,b2291,b1852,b0411,b4138,b4123,b0621,b2913,b0452,b2197,b3918,b1912,b1206,b2285,,,,,,,,,,,,,
