Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0559042750967724,0.206118550642993,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_48983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0559042750968311,0.206118550642169,PHATRDRAFT_14792,PHATRDRAFT_30145,PHATRDRAFT_48983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0559042750966265,0.206118550641781,PHATRDRAFT_30145,PHATRDRAFT_50742,PHATRDRAFT_8982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0559042750968311,0.206118550642169,PHATRDRAFT_30145,PHATRDRAFT_48983,PHATRDRAFT_8982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0559042750967724,0.206118550642993,PHATRDRAFT_26290,PHATRDRAFT_48983,PHATRDRAFT_8982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.055904275096772,0.20611855064241,PHATRDRAFT_26290,PHATRDRAFT_50742,PHATRDRAFT_8982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.055904275096772,0.20611855064241,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_50742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.116892621818607,0.190974688297651,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_48078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.116892621818271,0.190974688293665,PHATRDRAFT_48983,PHATRDRAFT_8982,PHATRDRAFT_48078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0559042750966822,0.206118550641221,PHATRDRAFT_30145,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.055904275096821,0.206118550641872,PHATRDRAFT_30145,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_8982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0559042750966822,0.206118550641221,PHATRDRAFT_14792,PHATRDRAFT_30145,PHATRDRAFT_41063,PHATRDRAFT_33839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0559042750966547,0.206118550643266,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_32747,PHATRDRAFT_25308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0559042750969436,0.206118550642338,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_41063,PHATRDRAFT_33839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.116892621818785,0.19097468829759,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_42245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.116892621818174,0.190974688291223,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_859,PHATRDRAFT_20310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.116892621818607,0.190974688297651,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_859,PHATRDRAFT_23723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.116892621818685,0.190974688300662,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_859,PHATRDRAFT_23913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.152716911355239,0.182079249440649,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_55069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.152716911354921,0.182079249436838,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_31436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.152716911354921,0.182079249436838,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_19979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.152716911355076,0.18207924943922,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_35580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.116892621818607,0.190974688297651,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_19979,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.055904275096772,0.20611855064241,PHATRDRAFT_26290,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_50742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0559042750967724,0.206118550642993,PHATRDRAFT_26290,PHATRDRAFT_48983,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.116892621818796,0.190974688297413,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_859,PHATRDRAFT_35580,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.116892621818868,0.190974688296653,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_22803,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.116892621818727,0.190974688300444,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,PHATRDRAFT_48078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.116892621818868,0.190974688296653,PHATRDRAFT_14792,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_55069,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.152716911355613,0.182079249439944,PHATRDRAFT_14792,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_19708,PHATRDRAFT_20310,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.152716911355209,0.182079249441305,PHATRDRAFT_14792,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_42245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.152716911354727,0.182079249436571,PHATRDRAFT_14792,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_19708,PHATRDRAFT_35580,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.152716911355135,0.182079249439711,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_42245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.116892621818353,0.190974688296709,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_8982,PHATRDRAFT_11319,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.116892621818271,0.190974688293665,PHATRDRAFT_48983,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_11319,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.152716911355629,0.182079249440775,PHATRDRAFT_42015,PHATRDRAFT_48983,PHATRDRAFT_14401,PHATRDRAFT_28191,PHATRDRAFT_8982,PHATRDRAFT_23365,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.152716911355435,0.182079249438713,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_40430,PHATRDRAFT_55069,PHATRDRAFT_8945,PHATRDRAFT_41686,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.152716911355209,0.182079249441305,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_29016,PHATRDRAFT_23598,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_42245,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.358702217468063,0.00442678878645431,PHATRDRAFT_800,PHATRDRAFT_16571,PHATRDRAFT_55126,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_draft1572,PHATRDRAFT_31906,PHATRDRAFT_46664,PHATRDRAFT_22357,Phatr3_EG02361,PHATRDRAFT_8982,PHATRDRAFT_47090,PHATRDRAFT_44782,PHATRDRAFT_43288,PHATRDRAFT_13175,PHATRDRAFT_50372,PHATRDRAFT_44546,PHATRDRAFT_11273,PHATRDRAFT_52223,PHATRDRAFT_21970,PHATRDRAFT_22117,PHATRDRAFT_42245,PHATRDRAFT_47667,PHATRDRAFT_33266,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_47239,PHATRDRAFT_49842,PHATRDRAFT_40433,PHATRDRAFT_23830
