Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,
5,0.0430725288837913,0.010956966332953,Rv3319,Rv0247c,Rv0248c,Rv1311,Rv1555,,,,
5,0.0504361365227587,0.00909359217621408,Rv2443,Rv1098c,Rv0694,Rv3150,Rv1555,,,,
5,0.0523275171866851,0.00943441547553171,Rv2443,Rv1188,Rv1098c,Rv1872c,Rv3150,,,,
5,0.052327517117296,0.00943459903890512,Rv2443,Rv1098c,Rv1872c,Rv3150,Rv1555,,,,
6,0.0504361366615367,0.00909360805964645,Rv2443,Rv2332,Rv1240,Rv0694,Rv3150,Rv1555,,,
6,0.0520504052555324,0.0299791079295747,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1098c,Rv1555,,,
6,0.0283861100989028,0.00511815212666988,Rv3010c,Rv2443,Rv1188,Rv1098c,Rv0694,Rv3150,,,
6,0.0523275171797468,0.00943460804081356,Rv2443,Rv2332,Rv1240,Rv1188,Rv1872c,Rv3150,,,
6,0.0523275172283186,0.00943459686823189,Rv2443,Rv2332,Rv1240,Rv1872c,Rv3150,Rv1555,,,
6,0.0504361365643921,0.00909358470486034,Rv2443,Rv1188,Rv1098c,Rv0694,Rv3150,Rv0859,,,
6,0.0268033629416239,0.00483257250838476,Rv2443,Rv1236,Rv1188,Rv1098c,Rv0694,Rv3150,,,
6,0.0523275171797464,0.00943488914299769,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1188,Rv1098c,,,
7,0.05037612936948,0.0128148808207898,Rv3319,Rv0247c,Rv0248c,Rv3432c,Rv1248c,Rv1555,Rv1475c,,
7,0.0504361366164339,0.00909358062910576,Rv2443,Rv2332,Rv1240,Rv1188,Rv0694,Rv3150,Rv0859,,
7,0.0523275171450525,0.00943440117564324,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1188,,
7,0.0503761293694796,0.0128148812180568,Rv3319,Rv0247c,Rv0248c,Rv0234c,Rv1731,Rv1555,Rv1475c,,
7,0.0520504052555323,0.0299791083523556,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1555,,
7,0.0268033629763183,0.004832255654037,Rv2443,Rv1236,Rv2332,Rv1240,Rv1188,Rv0694,Rv3150,,
8,0.0522503097449237,0.0132916427032851,Rv3319,Rv0247c,Rv0248c,Rv0234c,Rv1731,Rv0118c,Rv1837c,Rv1555,
8,0.0522503097726792,0.0132916433421925,Rv3319,Rv0247c,Rv0248c,Rv3432c,Rv1248c,Rv1915,Rv0467,Rv1555,
8,0.0522503097726792,0.0132916420656239,Rv3319,Rv0247c,Rv0248c,Rv0234c,Rv1731,Rv1915,Rv0467,Rv1555,
8,0.0503761293694796,0.0128148814583127,Rv3319,Rv0247c,Rv0248c,Rv1248c,Rv1555,Rv1475c,Rv3290c,Rv2589,
8,0.0522503097726793,0.013291642800357,Rv3319,Rv0247c,Rv0248c,Rv3432c,Rv1248c,Rv0118c,Rv1837c,Rv1555,
9,0.0522503097865571,0.0132916431194647,Rv3319,Rv0247c,Rv0248c,Rv1248c,Rv1915,Rv0467,Rv1555,Rv3290c,Rv2589
9,0.0522503097449237,0.0132916429007591,Rv3319,Rv0247c,Rv0248c,Rv1248c,Rv0118c,Rv1837c,Rv1555,Rv3290c,Rv2589
