Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.828360514334635,0.153466210688206,b2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.539223090708753,0.0998991658972348,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b2835,b0494,b3662,
29,0.539223090708794,0.0998991658978916,b1241,b0351,b4069,b4384,b3708,b3115,b1849,b2296,b3617,b0030,b2407,b1238,b1982,b2797,b3117,b1814,b4471,b0261,b1701,b1805,b4381,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3662
