Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.798025067260231,0.1627689168238,b3399,b2744,b3708,b3008,b0871,b2883,b2797,b3117,b1814,b4471,b1623,b3665,b1701,b1805,b4381,b0114,b1539,b2492,b0904,b1533,b1517,,,,,,,,,,,,,,,,,,,,,
21,0.649749346980699,0.0170013414137935,b3399,b3942,b1732,b0474,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b3617,b3236,b2883,b4381,b0114,b0529,b2492,b0904,b0516,b1511,,,,,,,,,,,,,,,,,,,,,
22,0.632532994684398,1.21265651920862,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b3617,b3236,b2883,b0517,b2210,b0505,b4381,b2943,b0511,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,
22,0.5659974503646,1.08314281173446,b3399,b3942,b1732,b1241,b0351,b4069,b2744,b2297,b2458,b3236,b2883,b1779,b3616,b3589,b2210,b0261,b4381,b0114,b0529,b2492,b0904,b0515,,,,,,,,,,,,,,,,,,,,
22,0.798025067260242,0.162768916848927,b3399,b2744,b3708,b3008,b0871,b2883,b2797,b3117,b1814,b4471,b1623,b3665,b4381,b3453,b0114,b2366,b2492,b0904,b1533,b3825,b2240,b1517,,,,,,,,,,,,,,,,,,,,
22,0.791486988840875,0.161307792098756,b3399,b2744,b3708,b3008,b0871,b2883,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b4381,b0452,b0114,b1539,b2492,b0904,b1533,b3927,b1518,,,,,,,,,,,,,,,,,,,,
22,0.706739232718481,0.144092868799373,b2836,b3399,b2744,b3708,b3008,b0871,b2779,b2883,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b4381,b0114,b1539,b2492,b0904,b1533,b1511,,,,,,,,,,,,,,,,,,,,
22,0.798677936061918,0.107413077472897,b2836,b4382,b3942,b1732,b0238,b0125,b0474,b4384,b3708,b3008,b0871,b2883,b0477,b2797,b3117,b1814,b4471,b0114,b2366,b2492,b0904,b0515,,,,,,,,,,,,,,,,,,,,
23,0.775105477333007,0.308512649462164,b3399,b4069,b2744,b3708,b3115,b1849,b2296,b2883,b2797,b3117,b1814,b4471,b1623,b3665,b4381,b0114,b2366,b2492,b0904,b1533,b3825,b0494,b1517,,,,,,,,,,,,,,,,,,,
23,0.786322809916193,0.200378484390921,b0238,b0125,b0474,b3831,b4069,b4384,b3708,b0512,b2297,b2458,b2883,b0477,b2797,b3117,b1814,b4471,b2498,b3449,b0511,b0114,b2366,b2492,b0904,,,,,,,,,,,,,,,,,,,
