Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.518676447092458,0.517345073777104,b2836,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b3617,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b2868,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.775954358748008,0.0890544711948536,b4382,b4384,b3708,b3008,b3752,b0871,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b2835,b0494,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.573585731834581,0.0658059805746503,b2836,b4384,b3708,b3008,b3752,b0871,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,b2285,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.518572843634981,0.517692099536724,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b2797,b3117,b1814,b4471,b3665,b2406,b0112,b0452,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,
29,0.518678455426207,0.517333141836522,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b3617,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0112,b0452,b2868,b0114,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,
29,0.712313827806654,0.103613017362657,b4382,b4069,b4384,b3708,b3008,b2297,b2458,b0030,b2407,b2388,b1982,b2688,b2797,b3117,b1814,b4471,b3565,b0261,b2406,b0114,b1539,b2492,b0904,b0591,b2578,b1533,b3927,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,
30,0.518570836119081,0.517704027681945,b2836,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b3617,b0030,b2407,b1238,b2797,b3117,b1814,b4471,b3665,b4381,b2406,b0112,b3654,b3714,b3664,b0114,b1539,b2492,b0904,b1533,b3662,b1518,,,,,,,,,,,,,,,,,,,,,,
30,0.518572843634981,0.517692099552074,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b3617,b2407,b2797,b3117,b1814,b4471,b3665,b2406,b0112,b0452,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b1511,b3662,,,,,,,,,,,,,,,,,,,,,,
30,0.518683131668768,0.517337805936988,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b0160,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0507,b0112,b0452,b2975,b0114,b3603,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,
31,0.778719609978265,0.0796776819871806,b3399,b2744,b3708,b3008,b0871,b2883,b2797,b3117,b1814,b4471,b1623,b3665,b0411,b4381,b2406,b3654,b3714,b3664,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b4141,b1798,b3662,b1517,,,,,,,,,,,,,,,,,,,,,
32,0.518573745658473,0.517693000007455,b1241,b0351,b4069,b3708,b2297,b2458,b3617,b0030,b2407,b1238,b2883,b2797,b3117,b1814,b4471,b4381,b2406,b0112,b0452,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b1511,b3662,,,,,,,,,,,,,,,,,,,,
32,0.518608924787744,0.517650673819114,b1241,b0351,b4069,b3708,b2297,b2458,b3617,b0030,b2407,b1238,b2883,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0112,b0452,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,
32,0.717581627621317,0.182379398353029,b3399,b3846,b2341,b4069,b2502,b2744,b3708,b3008,b2297,b2458,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0452,b0114,b2366,b2492,b0904,b3035,b2578,b1533,b3927,b3447,b4141,b1798,,,,,,,,,,,,,,,,,,,,
32,0.764750628659187,0.0877378257841703,b2836,b3399,b2744,b3708,b3008,b0871,b2297,b2458,b2925,b2097,b0160,b1982,b2688,b2797,b3117,b1814,b4471,b3946,b0825,b4374,b0675,b2361,b2291,b0261,b0114,b2366,b2492,b0904,b2578,b1533,b3927,b2413,,,,,,,,,,,,,,,,,,,,
33,0.520790901072016,0.519856602196091,b3399,b1241,b0351,b4069,b4384,b2744,b3708,b3115,b1849,b2296,b3617,b0160,b2797,b3117,b1814,b4471,b3665,b4374,b0675,b2361,b2291,b0261,b1701,b1805,b0112,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,
33,0.520790901072036,0.519856602195922,b3399,b4382,b1241,b0351,b4069,b2502,b4384,b2744,b3708,b2297,b2458,b3617,b2797,b3117,b1814,b4471,b3665,b0675,b2361,b2291,b0261,b2406,b0112,b3654,b3714,b3664,b0114,b1539,b2492,b0904,b1533,b3825,b0494,,,,,,,,,,,,,,,,,,,
33,0.518572843634984,0.517692099523789,b3399,b4382,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b0160,b2797,b3117,b1814,b4471,b3616,b3589,b3665,b0675,b2361,b4381,b2406,b0112,b0452,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b1511,,,,,,,,,,,,,,,,,,,
33,0.520739889083296,0.510785668374506,b2836,b3399,b4382,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b2797,b3117,b1814,b4471,b3616,b3589,b1623,b3665,b0675,b2361,b4381,b2406,b0112,b3654,b3714,b3664,b0114,b1539,b2492,b0904,b1533,b1511,,,,,,,,,,,,,,,,,,,
33,0.775954358748008,0.0890544711956643,b3399,b4382,b0238,b0125,b4384,b2744,b3708,b3008,b0871,b0030,b2883,b1982,b0477,b2797,b3117,b1814,b4471,b1623,b0261,b0411,b0114,b0886,b2366,b2492,b0904,b2954,b2578,b1533,b3927,b3821,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,
33,0.778719609978273,0.0796776819872094,b3399,b2744,b3708,b3008,b0871,b2883,b2797,b3117,b1814,b4471,b1623,b3665,b4381,b2406,b3654,b3714,b3664,b4064,b4464,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3825,b0494,b4141,b1798,b3662,b1518,,,,,,,,,,,,,,,,,,,
