Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.659946608570881,1.35689902968904,b3115,b1849,b2296,b2925,b2097,b1302,b2662,b3946,b0825,b4014,b2976,b0726,b0507,b2913,b2975,b3603,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.489281803547423,0.938022940059145,b4382,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b3617,b2407,b1982,b0261,b0507,b2406,b0112,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.489281803547417,0.938022940043003,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b3617,b2407,b1982,b0261,b0507,b4381,b2406,b0112,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.698556151583619,0.8512427018775,b2297,b2458,b2925,b2097,b2926,b3124,b3946,b0825,b1493,b3517,b4014,b2976,b0726,b4388,b2789,b3127,b2975,b3603,b3927,b2965,b0693,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.513815565744516,0.505581842566719,b4382,b1241,b0351,b4069,b4384,b2744,b3752,b2297,b2458,b3617,b2407,b1982,b0261,b0411,b0507,b0112,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.489281803547437,0.938022940057737,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b0160,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0507,b0112,b2975,b0114,b3603,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.491177955441308,0.928805971057124,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b1982,b3616,b3589,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b2975,b0114,b3603,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.513815565744569,0.505581842573084,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b0160,b1982,b3616,b3589,b0675,b2361,b2291,b0261,b0507,b4381,b0112,b2975,b0114,b3603,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.513815565744569,0.505581842571735,b3399,b4382,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b3617,b2407,b1982,b0675,b2361,b0261,b0507,b0112,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.489281803547436,0.93802294006029,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b0160,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0507,b0112,b2975,b0114,b3603,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.489281803547447,0.938022940030977,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b2407,b1982,b3616,b3589,b0261,b4381,b2406,b0112,b2975,b0114,b3603,b0509,b3125,b0529,b2492,b0904,b0508,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.513815565744527,0.505581842571697,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b2883,b1982,b0675,b2361,b2291,b0261,b0411,b0507,b4381,b0112,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.489281803547462,0.938022940055663,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b0160,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0112,b2975,b0114,b3603,b0509,b3125,b0529,b2492,b0904,b0508,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.489281803547451,0.938022940061252,b4382,b1241,b0351,b4069,b4384,b2297,b2458,b0030,b2407,b3124,b1982,b3616,b3589,b0261,b2406,b0112,b2789,b3127,b2975,b0114,b3603,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.489281803547476,0.938022940037116,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b3617,b0030,b2407,b1982,b4374,b2361,b2291,b0261,b0411,b0507,b0112,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.42130718327713,0.807705906625466,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b2779,b2926,b3617,b2407,b1982,b0261,b4388,b4381,b2406,b0112,b2789,b3127,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.513815565744541,0.505581842571599,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b3617,b1238,b2883,b1982,b0675,b2361,b0261,b0411,b0507,b4381,b0112,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.549012270226242,0.433672112417386,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0871,b3617,b0160,b1238,b1982,b0675,b2361,b0261,b0507,b4381,b0112,b2975,b0114,b3603,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.474305963433511,0.909312120497842,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b0030,b2883,b1982,b3616,b3589,b0261,b0507,b4381,b2406,b0112,b2868,b4064,b4464,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.421307183276924,0.807705906607493,b4382,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b2779,b2926,b3617,b2407,b1982,b0261,b4388,b2406,b0112,b2789,b3127,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.421307183277061,0.807705906618981,b4382,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b2779,b3617,b0030,b2407,b1779,b1982,b0261,b2913,b2406,b0112,b2789,b3127,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.549012270226194,0.433672112412791,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b3752,b0871,b2407,b1982,b3616,b3589,b0261,b0411,b0507,b4381,b0112,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.465324150733212,2.45306791506956,b4467,b1478,b1241,b0351,b0871,b2779,b2925,b2097,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b2690,b1493,b3517,b1602,b2913,b2975,b3603,b2492,b0904,b1380,b1771,b0606,b2285,,,,,,,,,,,,,,,,,,,,,,,,
28,0.421307183277144,0.80770590662265,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b2779,b2926,b0160,b1982,b3616,b3589,b0675,b2361,b2291,b0261,b2913,b4381,b0112,b2789,b3127,b2975,b0114,b3603,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,
28,0.421305833691012,0.807609368062508,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b2779,b2926,b0907,b1982,b3616,b3589,b0675,b2361,b2291,b0261,b4381,b0112,b2789,b3127,b2975,b0114,b3603,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,
28,0.5490122702262,0.433672112414885,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b3617,b1238,b1982,b0675,b2361,b0261,b4381,b0112,b2975,b0114,b3603,b0509,b3125,b0529,b2492,b0904,b0508,,,,,,,,,,,,,,,,,,,,,,,,
28,0.621205423077456,0.0575472279565545,b4467,b1478,b3942,b1732,b1241,b0351,b3844,b1004,b3713,b1109,b0046,b3236,b3551,b1602,b0507,b4219,b1832,b1778,b2975,b3603,b0755,b3612,b0529,b1380,b1710,b2480,b0606,b2285,,,,,,,,,,,,,,,,,,,,,,,,
29,0.513815565744538,0.50558184257142,b3399,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b3617,b0030,b1238,b2883,b1982,b1623,b0261,b0411,b4381,b0112,b2975,b0114,b3603,b0509,b3125,b0529,b2492,b0904,b0508,b3662,,,,,,,,,,,,,,,,,,,,,,,
30,0.489281803547451,0.938022940061395,b3399,b4382,b1241,b0351,b4069,b2502,b4384,b2744,b2297,b2458,b3617,b0030,b2883,b1982,b1623,b2361,b2291,b0261,b0507,b2406,b0112,b4064,b4464,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,
30,0.544004401134045,0.513153448513532,b4467,b3403,b1479,b2779,b2925,b2097,b1850,b1004,b3713,b1109,b0046,b3236,b2690,b2463,b0675,b1493,b3517,b0822,b0726,b1602,b0507,b2913,b1727,b2975,b3603,b1380,b0118,b1695,b2285,b3924,,,,,,,,,,,,,,,,,,,,,,
31,0.521039150220918,0.779901143479883,b2836,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b3617,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0507,b0112,b2975,b0114,b3603,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,
31,0.512413919246671,0.504202656994821,b3500,b3399,b4382,b0474,b2518,b1241,b0351,b4069,b2502,b4384,b2744,b2297,b2458,b2781,b0099,b3617,b2235,b1982,b1623,b0675,b2361,b0261,b0507,b0112,b2975,b0114,b3603,b0529,b2492,b0904,b2954,,,,,,,,,,,,,,,,,,,,,
32,0.489116023083916,0.210300447516371,b4467,b2836,b4269,b0493,b3588,b3003,b3011,b0474,b2518,b3926,b0871,b2779,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b4139,b1602,b2913,b3915,b2975,b3603,b0529,b2492,b0904,b3029,b1380,b1771,b2285,,,,,,,,,,,,,,,,,,,,
32,0.494449842465486,0.176623664299247,b4467,b4269,b0493,b3588,b3003,b3011,b0474,b2518,b0871,b2779,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b4139,b3945,b1602,b0507,b1727,b2975,b3603,b0529,b2492,b0904,b3029,b1380,b2660,b2285,,,,,,,,,,,,,,,,,,,,
32,0.756818305217236,0.00210773894642856,b4382,b4384,b3708,b3008,b0871,b0030,b2407,b0120,b1982,b2797,b3117,b1814,b4471,b0261,b0507,b2406,b0452,b2975,b0114,b3603,b0886,b1539,b2492,b0904,b3035,b2578,b1533,b3927,b4141,b1798,b3662,b0221,,,,,,,,,,,,,,,,,,,,
32,0.709226721142965,0.00197519643594806,b4382,b4069,b4384,b3708,b3008,b2297,b2458,b0030,b2407,b1982,b2688,b2797,b3117,b1814,b4471,b0261,b0507,b2406,b2975,b0114,b3603,b2366,b0529,b2492,b0904,b3035,b2578,b1533,b3927,b3821,b2413,b3662,,,,,,,,,,,,,,,,,,,,
32,0.525413803509845,0.772722402925848,b3399,b4382,b1241,b0351,b4069,b2744,b3708,b3115,b1849,b2296,b3617,b0160,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b2975,b0114,b3603,b1539,b2492,b0904,b1533,b3821,,,,,,,,,,,,,,,,,,,,
33,0.442668619226015,0.719801086956189,b3399,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b3752,b0871,b2779,b2926,b3617,b2883,b1982,b1623,b0261,b0411,b4388,b4381,b0112,b2789,b3127,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,
33,0.456000530864334,0.198712567338782,b4467,b3399,b4069,b2744,b3115,b1849,b2296,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b0675,b2361,b0261,b3945,b1602,b0507,b2913,b4381,b1727,b2975,b0114,b3603,b0529,b2492,b0904,b1380,b0606,b2285,,,,,,,,,,,,,,,,,,,
33,0.756818305217236,0.00210773897762383,b3399,b2744,b3708,b3008,b0871,b0160,b0121,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0507,b0452,b2975,b0114,b3603,b0886,b2366,b2492,b0904,b0591,b2578,b1533,b3927,b3821,b4141,b1798,,,,,,,,,,,,,,,,,,,
34,0.523244693873423,0.783223529225734,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b1238,b3124,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0112,b2789,b3127,b2975,b0114,b3603,b2366,b2492,b0904,b1533,b3825,b0494,b0514,b3662,,,,,,,,,,,,,,,,,,
34,0.523244693873382,0.783223529222473,b1241,b0351,b4069,b4384,b2744,b3708,b3115,b1849,b2296,b3617,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3449,b4374,b2361,b2291,b0261,b0411,b0507,b2239,b0112,b2975,b0114,b3603,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,
34,0.495889811062809,0.233682122806921,b4467,b4269,b0493,b3588,b3003,b3011,b4384,b0871,b2779,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b0477,b4139,b1602,b2913,b3915,b1727,b2975,b3603,b0529,b2492,b0904,b3029,b1380,b1695,b1771,b1517,b2285,,,,,,,,,,,,,,,,,,
35,0.631009219381401,0.00175736060651738,b3399,b4069,b2502,b2744,b3708,b3008,b2297,b2458,b2779,b1238,b0583,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b2975,b0114,b3603,b0529,b1539,b2492,b0904,b2947,b2578,b1533,b3927,b3821,,,,,,,,,,,,,,,,,
36,0.391433933835766,0.354640709802161,b4467,b4069,b4384,b2297,b2458,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b0937,b1982,b0261,b2799,b3945,b1602,b4381,b2406,b1727,b2975,b0114,b3603,b0529,b2492,b0904,b3927,b1380,b2660,b3662,b0606,b2285,b1011,,,,,,,,,,,,,,,,
36,0.505790355463133,0.214817425174022,b4467,b3399,b4069,b2502,b2744,b3708,b3926,b2297,b2458,b1004,b3713,b1109,b0046,b3236,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b1602,b2975,b0114,b3603,b0509,b3125,b0529,b1539,b2492,b0904,b1380,b0508,b2660,b2285,,,,,,,,,,,,,,,,
36,0.444541042862825,0.193718835682122,b4467,b3399,b4069,b4384,b2744,b3752,b3115,b1849,b2296,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b1982,b1623,b0261,b3945,b1602,b0153,b4381,b1727,b2975,b0114,b3603,b0529,b2492,b0904,b3035,b1380,b2660,b0606,b2285,b1011,,,,,,,,,,,,,,,,
37,0.503500928078711,0.116134670890089,b4467,b4382,b4269,b0493,b3588,b3003,b3011,b4384,b3708,b3008,b3926,b0871,b2779,b2926,b2407,b1004,b3713,b1109,b0046,b3236,b2797,b3117,b1814,b4471,b0261,b1602,b2913,b0452,b2975,b0114,b3603,b1539,b2492,b0904,b1533,b1380,b2285,,,,,,,,,,,,,,,
37,0.759960662089744,0.00211649044792215,b3399,b2502,b2744,b3708,b3008,b0871,b2297,b2458,b1238,b0120,b1982,b2797,b3117,b1814,b4471,b0596,b0675,b2361,b0261,b4381,b2406,b2975,b0114,b3603,b0886,b0509,b3125,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b0508,b4141,b1798,,,,,,,,,,,,,,,
