Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,
2,0.848268530373155,0.531514033640924,b0521,b0033,,,,,,,,,,,,,,,
10,0.79576411300615,0.227510563063396,b0871,b2925,b2097,b3946,b0825,b4381,b0114,b0529,b2492,b0904,,,,,,,
10,0.795764113006136,0.227510563061303,b0871,b2925,b2097,b2690,b3945,b4381,b0114,b0529,b2492,b0904,,,,,,,
12,0.795764113006144,0.227510563062374,b2930,b4232,b3697,b3925,b0871,b2690,b3945,b4381,b0114,b0529,b2492,b0904,,,,,
13,0.686676833381368,0.00268078636517932,b1241,b0351,b4069,b3115,b1849,b2296,b3617,b0507,b4381,b0114,b2492,b0904,b1517,,,,
13,0.686676833381368,0.00268078636517932,b1241,b0351,b4069,b3115,b1849,b2296,b3617,b0507,b4381,b0114,b2492,b0904,b1518,,,,
14,0.583873905014322,0.162064128188245,b4382,b0238,b0125,b4069,b4384,b3115,b1849,b2296,b0477,b0114,b0529,b2492,b0904,b2285,,,
14,0.783382694488118,0.117542964722043,b4069,b3708,b2297,b2458,b0521,b2797,b3117,b1814,b4471,b4381,b0114,b1539,b2492,b0904,,,
14,0.708188566117995,0.00276476817577276,b0469,b0474,b2518,b1241,b0351,b4069,b2297,b2458,b3617,b0477,b0505,b0114,b2492,b0904,,,
14,0.793802215718231,0.0012907223973066,b1241,b0351,b0871,b2925,b2097,b3617,b0521,b3946,b0825,b4381,b0114,b2492,b0904,b3029,,,
15,0.695348320655946,0.858503112250848,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b0871,b3617,b0261,b0505,b4381,b0114,b2492,b0904,,
16,0.797451045031612,0.138085825494323,b4382,b4384,b3708,b3008,b0871,b2407,b2797,b3117,b1814,b4471,b0507,b0452,b0114,b2366,b2492,b0904,
17,0.78443517384886,0.256863561951728,b4069,b3708,b3115,b1849,b2296,b3124,b2797,b3117,b1814,b4471,b2440,b4381,b0114,b1539,b2492,b0904,b0514
17,0.778336059737195,0.248059983129062,b4382,b4069,b4384,b3708,b2297,b2458,b2407,b2797,b3117,b1814,b4471,b0507,b0114,b2366,b0529,b2492,b0904
17,0.779851427616725,0.218465397399148,b3399,b4069,b2744,b2297,b2458,b2925,b2097,b0160,b2690,b4374,b2361,b2291,b3945,b0114,b0529,b2492,b0904
17,0.71603875346233,0.165264369782443,b3708,b3008,b0871,b2779,b1779,b2797,b3117,b1814,b4471,b3449,b4381,b2239,b0114,b2366,b2492,b0904,b1518
17,0.787451288503364,0.00307420981751444,b2066,b0474,b2518,b4069,b3115,b1849,b2296,b2925,b2097,b0521,b2690,b0477,b0726,b3945,b0114,b2492,b0904
