Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,
6,0.0514219129582778,0.00927132785728362,Rv2443,Rv1188,Rv1098c,Rv1872c,Rv3150,Rv0859,
6,0.0495506429195428,0.00893394326021943,Rv2443,Rv1188,Rv1098c,Rv0694,Rv3150,Rv0859,
7,0.0514219129582789,0.00927121222898025,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1188,Rv1098c,Rv0859
7,0.0514219129027675,0.00927130522922343,Rv2443,Rv2332,Rv1240,Rv1188,Rv1872c,Rv3150,Rv0859
