Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.524849978018816,2.01172214869186,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b3617,b2407,b1982,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.524849978018797,2.01172214870067,b4382,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b3617,b2407,b1982,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.555834921080018,1.80688648389118,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b0030,b2407,b1982,b3616,b3589,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.555834921080052,1.80688648389041,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b3617,b1982,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.526443511054205,1.99145841512186,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b0160,b1623,b3665,b0675,b2361,b0261,b4381,b2406,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.526375971695086,1.9914387400906,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b2883,b1623,b3665,b0411,b4381,b2406,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.528709009042268,1.56307531433496,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b3617,b0030,b2407,b3665,b0411,b4381,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.528741624655915,1.56293486287402,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b3617,b2883,b0261,b0411,b4381,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.52484997801883,2.01172214869905,b3399,b0238,b0125,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b2883,b1982,b0477,b4374,b0675,b2361,b2291,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.524849978018769,2.01172214869296,b3399,b0238,b0125,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b2883,b1982,b0477,b4374,b0675,b2361,b2291,b0261,b0112,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.552146892229624,1.65218881433067,b2836,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b3617,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b1539,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.292233909093949,1.12050867858148,b1241,b0351,b4069,b4384,b2744,b3752,b0871,b2297,b2458,b2779,b2925,b2097,b3617,b2407,b2690,b1982,b3945,b2913,b4381,b0112,b2868,b0114,b0529,b2492,b0904,b3662,b1517,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.415749428785596,1.57234563094044,b1478,b3399,b1241,b0351,b4069,b2502,b2744,b0871,b3115,b1849,b2296,b2925,b2097,b3617,b2690,b1982,b1623,b3665,b0675,b2361,b0822,b4381,b2406,b0114,b0529,b2492,b0904,b1511,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.356440433326709,1.36669491980906,b3399,b4382,b1241,b0351,b4069,b4384,b2744,b3752,b2930,b4232,b3697,b3925,b0871,b2297,b2458,b3617,b2407,b2690,b1982,b3945,b4388,b2868,b0114,b0755,b3612,b0529,b2492,b0904,b1518,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.398716513607542,1.50846458462818,b3399,b1241,b0351,b4069,b2744,b0871,b2297,b2458,b2925,b2097,b3617,b3236,b2883,b0907,b3946,b2210,b0825,b1623,b3665,b0411,b4381,b3654,b2868,b3714,b3664,b0114,b0529,b2492,b0904,b1517,b2285,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.488021534691765,1.11424795575757,b3942,b1732,b1241,b0351,b4069,b4384,b2744,b3752,b0871,b2297,b2458,b2925,b2097,b2926,b3617,b2407,b3236,b0517,b1982,b3946,b2210,b0825,b4374,b2361,b2291,b0114,b0529,b2492,b0904,b3662,b1518,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.290568459413936,1.11451397169567,b1241,b0351,b4069,b2744,b2930,b4232,b3697,b3925,b0871,b2297,b2458,b3617,b3236,b2883,b3946,b2210,b0825,b2913,b4381,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0755,b3612,b0529,b2492,b0904,b1518,b2285,,,,,,,,,,,,,,,,,,,,,,,
33,0.316809616375057,1.01371758937954,b1478,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b3831,b2744,b0512,b0871,b2925,b2097,b3617,b0160,b1779,b2690,b1982,b0675,b2361,b0822,b2913,b4381,b0112,b0511,b0114,b0529,b2492,b0904,b1511,b2285,,,,,,,,,,,,,,,,,,,,,,,
35,0.45834152887423,1.47676595139243,b3942,b1732,b1241,b0351,b4069,b4384,b2744,b1479,b2930,b4232,b3697,b3925,b0871,b3115,b1849,b2296,b2926,b3617,b0030,b2407,b3236,b2463,b1982,b3946,b2210,b0825,b4374,b2361,b2291,b0114,b0529,b2492,b0904,b1380,b1518,,,,,,,,,,,,,,,,,,,,,
35,0.304825426266611,1.16919846423951,b3942,b1732,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b2925,b2097,b3617,b0030,b2407,b3236,b1779,b2690,b2210,b3665,b0675,b0411,b0822,b4381,b3654,b3714,b3664,b1727,b0114,b0755,b3612,b0529,b2492,b0904,b1511,b2285,,,,,,,,,,,,,,,,,,,,,
