Deletion size,Max growth rate,Min production rate,Deleted genes,,
2,0.353897749137418,0.0279409893809088,PHATRDRAFT_draft521,PHATRDRAFT_22803,
3,0.353897749137528,0.0279409893808298,PHATRDRAFT_draft521,PHATRDRAFT_45947,PHATRDRAFT_28068
3,0.35389774913753,0.0279409893796796,PHATRDRAFT_54015,PHATRDRAFT_31436,PHATRDRAFT_28181
