Deletion size,Max growth rate,Min production rate,Deleted genes,,
2,0.2030236725711,0.0844349061145079,CLJU_RS19990,CLJU_RS14130,
3,0.2030236725711,0.0844349061145079,CLJU_RS19990,CLJU_RS07210,CLJU_RS03475
