Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,
4,0.26908424678888,1.70778728945348,YPO2157,YPO1109,YPO0436,YPO1149,,,,,
4,0.272879925404981,1.40743807367162,YPO2157,YPO1114,YPO1109,YPO1149,,,,,
5,0.26908424678888,1.70778728947867,YPO1109,YPO3376,YPO1149,YPO0439,YPO0442,,,,
5,0.27729950094238,1.64154353150577,YPO1109,YPO3520,YPO1133,YPO3834,YPO0442,,,,
5,0.268539076527883,0.916936999858619,YPO1541,YPO1114,YPO1109,YPO0920,YPO0921,,,,
5,0.244620504407481,1.73435375162134,YPO2157,YPO3992,YPO0347,YPO1149,YPO0439,,,,
5,0.269084246788881,1.70778728948045,YPO1541,YPO1109,YPO0436,YPO2533,YPO0921,,,,
5,0.251391092371927,1.67503452792925,YPO2157,YPO3992,YPO0347,YPO2074,YPO3520,,,,
5,0.251391092371931,1.67503452795281,YPO2157,YPO3992,YPO0347,YPO3141,YPO3520,,,,
5,0.251391092371928,1.67503452796029,YPO2157,YPO3992,YPO0347,YPO2074,YPO0920,,,,
5,0.277299500942388,1.64154353148802,YPO1109,YPO3376,YPO3141,YPO0920,YPO1389,,,,
5,0.268539076527883,0.916936999858619,YPO2157,YPO1541,YPO1114,YPO1109,YPO0920,,,,
6,0.24462050440748,1.73435375159545,YPO2157,YPO1541,YPO3992,YPO0347,YPO2533,YPO0439,,,
6,0.251391092371935,1.67503452795693,YPO3992,YPO0347,YPO3376,YPO2074,YPO3520,YPO0914,,,
6,0.251391092371942,1.67503452796143,YPO3992,YPO0347,YPO3376,YPO3520,YPO1389,YPO3834,,,
6,0.251391092371928,1.67503452788123,YPO3992,YPO0347,YPO3376,YPO2074,YPO0920,YPO0442,,,
6,0.272879925404981,1.40743807366738,YPO1541,YPO1114,YPO1109,YPO2067,YPO1133,YPO0442,,,
6,0.251391092371942,1.67503452796143,YPO3992,YPO0347,YPO3520,YPO1389,YPO1133,YPO3834,,,
6,0.251391092371942,1.67503452796143,YPO3992,YPO0347,YPO3376,YPO2074,YPO3520,YPO1389,,,
7,0.186610821282223,1.69610103123152,YPO2157,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO1149,,
7,0.251391092371929,1.67503452794206,YPO3992,YPO0347,YPO3080,YPO3830,YPO3376,YPO0920,YPO0442,,
7,0.186610821282223,1.69610103123152,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO0921,YPO1149,,
7,0.222577592207971,1.34445308951543,YPO3992,YPO0347,YPO1114,YPO0920,YPO0921,YPO1149,YPO2836,,
8,0.186610821282195,1.6961010312307,YPO2157,YPO1541,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO2533,
8,0.186610821282195,1.69610103123032,YPO1541,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO2067,YPO3376,
8,0.186610821282195,1.69610103122879,YPO1541,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO2067,YPO0921,
8,0.186610821282195,1.6961010312307,YPO1541,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO2533,YPO0921,
8,0.183475556521441,1.36896250035857,YPO3992,YPO0347,YPO1114,YPO3034,YPO2552,YPO2303,YPO0920,YPO1149,
9,0.178502948019724,1.33186047599689,YPO0357,YPO1541,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO2533,YPO0920
9,0.178502948019724,1.33186047599516,YPO0357,YPO1541,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO2067,YPO0920
