Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.727718882083413,0.240654451148338,b3553,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b1033,b0261,b0507,b2406,b0112,b0114,b1539,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.504222879020091,0.502942152909213,b0945,b4138,b4123,b0621,b0612,b0723,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.502171801929181,0.500882793870892,b0945,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b0030,b2407,b3124,b1779,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b1701,b1805,b2406,b0112,b2868,b0114,b0755,b3612,b1539,b2492,b0904,b1533,b0723,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.502174955098101,0.500885938946526,b4467,b1478,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b2502,b2744,b3708,b3008,b0871,b2925,b2097,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b2690,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b3915,b1539,b2492,b0904,b1533,b1380,b0723,b1600,b2660,b4141,b1798,b0606,b2285,b1008,,,,,,,,,,,,
44,0.76676929930113,0.0880003233538691,b4467,b1478,b4382,b1241,b4069,b4384,b3708,b3752,b2297,b2458,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b0937,b1982,b2797,b3117,b1814,b4471,b0261,b2799,b3945,b1602,b2406,b0452,b2975,b3603,b2366,b2492,b0904,b1533,b1380,b2660,b4141,b1798,b3662,b0606,b2285,b1009,,,,,,,,,,,,,,,,,,,
46,0.504219700080893,0.502938982046195,b4467,b1478,b1241,b4069,b4384,b3708,b2297,b2458,b2926,b0030,b2407,b3844,b1238,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b0261,b0411,b2799,b3945,b1602,b0153,b2913,b4381,b2406,b0452,b2975,b3603,b0584,b1539,b2492,b0904,b1533,b1380,b4141,b1798,b0606,b2285,b1007,,,,,,,,,,,,,,,,,
33,0.504496742022109,0.494401324982886,b3553,b3399,b4382,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b1033,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b0452,b0114,b2366,b2492,b0904,b1533,b3825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.502171649974779,0.50088264230169,b3399,b1241,b0351,b4069,b2744,b3708,b3115,b1849,b2296,b0160,b1238,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b2440,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b0452,b2975,b0114,b3603,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.697806102752605,0.0906884347983805,b0945,b4382,b4069,b4384,b3708,b3008,b3752,b3115,b1849,b2296,b2407,b2388,b1982,b0394,b2688,b2797,b3117,b1814,b4471,b2440,b0595,b0261,b2406,b0452,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b0723,b3662,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.502174955098114,0.500885938947944,b4382,b1241,b0351,b4069,b4384,b3708,b3115,b1849,b2296,b3617,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b2975,b0114,b3603,b0509,b3125,b1539,b2492,b0904,b1533,b3821,b0508,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
