Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.671490237784397,1.09217853599828,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0512,b0871,b3617,b2407,b0261,b0511,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.767044581136296,0.32589090733248,b2836,b4069,b3708,b3115,b1849,b2296,b2797,b3117,b1814,b4471,b4381,b0511,b0114,b0529,b1539,b2492,b0904,b0516,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.667852637398525,1.00013136363702,b1241,b0351,b4069,b3708,b2297,b2458,b2797,b3117,b1814,b4471,b3616,b3589,b4381,b0511,b0114,b1539,b2492,b0904,b0516,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.677732108480677,0.866510546821014,b2066,b0238,b0125,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b3617,b0477,b2498,b0511,b0114,b0529,b2492,b0904,b0515,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.656471650859105,1.25899216383746,b3399,b1241,b0351,b3831,b4069,b2744,b3115,b1849,b2296,b3617,b0160,b2498,b2361,b2291,b0511,b0114,b0529,b2492,b0904,b0515,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.671458399486418,1.09227715772229,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b3831,b4384,b0871,b2407,b2498,b3616,b3589,b0511,b0114,b0529,b2492,b0904,b0516,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.779270946054039,0.248357936470114,b4382,b4069,b4384,b3708,b3115,b1849,b2296,b2407,b2797,b3117,b1814,b4471,b3449,b0511,b0114,b1539,b2492,b0904,b1533,b0494,b0516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.804238120504635,0.111300604395352,b0238,b0125,b2744,b3708,b3008,b0871,b0517,b0477,b2797,b3117,b1814,b4471,b2440,b4374,b2361,b2291,b0505,b0511,b0114,b2366,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.6809885865389,0.821571870290762,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b3708,b3008,b0871,b3617,b2797,b3117,b1814,b4471,b4381,b0511,b0114,b2366,b2492,b0904,b0516,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.671458399486475,1.09227715774085,b3399,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b4384,b2744,b0512,b0871,b3616,b3589,b2361,b2291,b0511,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.685035972691597,0.290945966565386,b3399,b4069,b2502,b2744,b3708,b0512,b2297,b2458,b1779,b2797,b3117,b1814,b4471,b2440,b4374,b2361,b2291,b0261,b0511,b0114,b0529,b1539,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.774158765029168,0.243612744518248,b3399,b3942,b1732,b4069,b4384,b2744,b3708,b2297,b2458,b0160,b3124,b0517,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b2789,b3127,b0452,b0511,b0114,b1539,b2492,b0904,b1533,b0514,,,,,,,,,,,,,,,,,,,,
41,0.455549897436727,0.122405801892906,b4467,b3399,b1241,b0351,b2502,b2744,b2930,b4232,b3697,b3925,b0871,b1004,b3713,b1109,b0046,b3236,b1638,b2690,b4139,b4374,b2361,b2291,b0505,b1602,b3654,b3714,b3664,b0511,b1727,b4064,b4464,b0114,b0529,b2492,b0904,b3029,b1380,b2660,b1771,b1511,b2285,,,,,,,,
48,0.408246209079481,0.0542176991350901,b4467,b1478,b0238,b0125,b1241,b4069,b4384,b3115,b1849,b2296,b2925,b2097,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b2690,b1525,b4139,b1623,b4015,b2661,b0411,b2799,b3945,b1602,b4381,b3915,b3654,b3714,b3664,b0511,b4064,b4464,b2492,b0904,b2954,b3029,b1380,b2660,b0515,b0221,b2285,b1011,
49,0.503366726693017,0.080385988362848,b4467,b1478,b4382,b0238,b0125,b1241,b4069,b4384,b3708,b2297,b2458,b2779,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b4139,b2797,b3117,b1814,b4471,b1623,b4015,b2799,b3945,b1602,b0153,b3654,b3714,b3664,b0511,b4064,b4464,b0584,b2366,b2492,b0904,b2954,b3029,b1380,b2660,b0515,b1517,b2285,b1007
