Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,
9,0.039087026116444,0.334370125204539,Rv0843,Rv0462,Rv2495c,Rv0753c,Rv1902c,Rv0162c,Rv2920c,Rv0084,Rv2899c,,,
9,0.0390870261164439,0.334370236891153,Rv0843,Rv0462,Rv2496c,Rv1902c,Rv0162c,Rv2920c,Rv3601c,Rv0084,Rv2899c,,,
9,0.0390870261164439,0.334370236891153,Rv0843,Rv0462,Rv2495c,Rv1902c,Rv0162c,Rv2920c,Rv3601c,Rv0084,Rv2899c,,,
9,0.0351884643912117,0.00136517721319429,Rv2697c,Rv2967c,Rv3356c,Rv2476c,Rv1902c,Rv1240,Rv3307,Rv0211,Rv2202c,,,
9,0.0394402190826761,0.292211251123334,Rv0843,Rv0462,Rv2496c,Rv2476c,Rv0753c,Rv1902c,Rv0162c,Rv0084,Rv2899c,,,
9,0.0390870261164439,0.334370236658323,Rv3303c,Rv0843,Rv0462,Rv1902c,Rv0162c,Rv2920c,Rv3601c,Rv0084,Rv2899c,,,
9,0.0394402190826761,0.292211328891461,Rv0843,Rv0462,Rv2496c,Rv2476c,Rv1902c,Rv0162c,Rv3601c,Rv0084,Rv2899c,,,
9,0.039087026116444,0.334370083327871,Rv3303c,Rv0843,Rv0462,Rv0753c,Rv1902c,Rv0162c,Rv2920c,Rv0084,Rv2899c,,,
9,0.0370518185684433,0.0510889669451828,Rv2697c,Rv2967c,Rv3859c,Rv2476c,Rv1902c,Rv1098c,Rv0211,Rv1837c,Rv0694,,,
10,0.0280619401507997,0.351005144902926,Rv2495c,Rv2215,Rv3356c,Rv1902c,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,,
10,0.0280619401542683,0.351004824023561,Rv2495c,Rv2215,Rv3356c,Rv0753c,Rv1902c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,,
10,0.0283963076493284,0.585281761415994,Rv0843,Rv0462,Rv2496c,Rv3356c,Rv1902c,Rv0211,Rv2920c,Rv0084,Rv2899c,Rv3535c,,
10,0.0289600509986418,0.52062530012456,Rv0843,Rv0462,Rv2495c,Rv3356c,Rv2476c,Rv1902c,Rv0211,Rv0084,Rv2899c,Rv3535c,,
10,0.0289600514704862,0.520626351532718,Rv3303c,Rv0843,Rv0462,Rv3356c,Rv2476c,Rv1902c,Rv0211,Rv0084,Rv2899c,Rv3535c,,
10,0.0394402190826761,0.292211267136101,Rv2495c,Rv2215,Rv2476c,Rv0753c,Rv1902c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,,
10,0.0289600514704862,0.520626817872591,Rv0843,Rv0462,Rv2496c,Rv3356c,Rv2476c,Rv1902c,Rv0162c,Rv0211,Rv0084,Rv2899c,,
