Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.351702588621728,0.194302784451926,STM2451,STM4340,STM3359,STM1566,STM2472,STM4301,STM3599,STM4325,STM0627,,,,,,,,,,,,,,,,,
10,0.351816124497885,0.194365508860515,STM2451,STM4340,STM1469,STM0761,STM1468,STM4300,STM4301,STM3599,STM4325,STM0627,,,,,,,,,,,,,,,,
16,0.286498130136021,0.0858629166054951,STM2421,STM2451,STM2285,STM4568,STM1620,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,,,
17,0.290819285714005,0.0871579582899185,STM2421,STM2451,STM2285,STM4568,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,,
17,0.286498130136006,0.0858629166054986,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1620,STM0974,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,,
17,0.289583437939325,0.0771347959188891,STM3646,STM2421,STM2451,STM2285,STM4568,STM1135,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,,
18,0.286498130136004,0.08586291660604,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4567,STM1750,STM1620,STM0974,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,
18,0.286498130135891,0.0858629166054581,STM2927,STM2451,STM2285,STM1620,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,,,,,,,
18,0.285958262399218,0.0857011193245115,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM1750,STM1620,STM0974,STM1211,STM2317,STM3179,STM4569,STM4301,STM3599,STM4325,STM0627,,,,,,,,
18,0.29399888116585,0.0783109139821198,STM3646,STM2421,STM2451,STM2285,STM4568,STM1135,STM1570,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,
18,0.289763465187626,0.0771827488168812,STM3646,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1135,STM0974,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,
19,0.290819285714,0.0871579582899075,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4567,STM1750,STM1570,STM1620,STM4036,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,
19,0.290819285714,0.0871579582899202,STM2927,STM2451,STM2285,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,,,,,,
19,0.290263025684628,0.0869912482716212,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM1750,STM1570,STM1620,STM4036,STM1211,STM2317,STM3179,STM4569,STM4301,STM3599,STM4325,STM0627,,,,,,,
19,0.294184441982836,0.078360340827282,STM3646,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1135,STM1570,STM4036,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,
19,0.293491991784995,0.078175896561142,STM3646,STM2421,STM2451,STM2285,STM1750,STM1135,STM1570,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4569,STM4301,STM3599,STM4325,STM0627,,,,,,,
19,0.289583437939322,0.0771347959188821,STM3646,STM2927,STM2451,STM2285,STM1135,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM2332,STM3968,STM4301,STM3599,STM4325,STM0627,STM4559_S,,,,,,,
19,0.289583437939322,0.0771347959190526,STM3646,STM2927,STM2451,STM2285,STM1135,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,,,,,,
19,0.289271063108547,0.0770515903012324,STM3646,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM1750,STM1135,STM0974,STM1211,STM2317,STM3179,STM4569,STM4301,STM3599,STM4325,STM0627,,,,,,,
20,0.290819285714005,0.0871579582889984,STM2927,STM0413,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM1570,STM1620,STM4036,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM4559_S,,,,,,
20,0.286498130136004,0.0858629166054871,STM0051,STM2421,STM2451,STM0661,STM2285,STM4567,STM1620,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM3968,STM4301,STM3599,STM4325,STM0627,STM3334,,,,,,
20,0.286498130136004,0.0858629166054868,STM2927,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4567,STM1620,STM0974,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,,,,,
20,0.285958262399221,0.0857011193245311,STM2421,STM2451,STM2285,STM1620,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4569,STM3968,STM3885,STM3793,STM4301,STM3599,STM4325,STM0627,STM3334,,,,,,
20,0.294184441982837,0.078360340827262,STM3646,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4567,STM1750,STM1135,STM1570,STM4036,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,
20,0.289763465187626,0.0771827488168698,STM3646,STM2927,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM1135,STM0974,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM4559_S,,,,,,
20,0.289763465187626,0.0771827488168629,STM3646,STM2927,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM1135,STM0974,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,,,,,
21,0.290819285713996,0.0871579582899096,STM0051,STM2421,STM2451,STM0661,STM2285,STM4567,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM3968,STM4301,STM3599,STM4325,STM0627,STM3334,,,,,
