Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.729365237553357,0.385210603393034,b3831,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b0411,b4138,b4123,b0621,b4381,b3821,b3918,b1206,,,,,,,,,,,,,,,
20,0.729365237553357,0.385210603393261,b3831,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b0411,b4138,b4123,b0621,b4381,b3825,b3918,b4042,b0494,b1206,,,,,,,,,,,,,,
20,0.728072792855006,0.384528005183452,b0474,b2518,b3831,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4161,b0411,b4138,b4123,b0621,b4381,b3821,b3918,b4042,b1206,,,,,,,,,,,,,,
20,0.725088721630913,0.382835098553347,b4382,b3831,b4384,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b0411,b4138,b4123,b0621,b0452,b3918,b1206,,,,,,,,,,,,,,
33,0.562792536788899,0.296768833952569,b2242,b3553,b0474,b2518,b3831,b3752,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b1033,b4161,b0411,b4138,b4123,b0621,b4381,b0452,b0306,b3605,b3028,b3918,b4042,b1206,b2285,b3893,b1474,
34,0.567868571201825,0.299157138390406,b2242,b3553,b0474,b2518,b3831,b1278,b3752,b2781,b1004,b3713,b1109,b0046,b3236,b1612,b1611,b4122,b1759,b1033,b4161,b4015,b0411,b4138,b4123,b0621,b4381,b0306,b3605,b2492,b0904,b3028,b3821,b3918,b1206,b2285
