Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,
7,0.0491601446644622,0.00886350900562857,Rv2443,Rv1188,Rv1712,Rv1098c,Rv0694,Rv3150,Rv0859,,
7,0.0510596245381065,0.00920602581214707,Rv2443,Rv1188,Rv1712,Rv1098c,Rv1872c,Rv3150,Rv0859,,
8,0.0510596245103512,0.00920602230938596,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1188,Rv1712,Rv1098c,Rv0859,
8,0.0491601446505847,0.00886351847777096,Rv2443,Rv2332,Rv1240,Rv1188,Rv1712,Rv0694,Rv3150,Rv0859,
8,0.0510596245242295,0.00920599436147432,Rv2443,Rv2332,Rv1240,Rv1188,Rv1712,Rv1872c,Rv3150,Rv0859,
9,0.0510596245103516,0.00920596442419953,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1188,Rv1712,Rv0859
