Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,
9,0.338677344025941,0.0935534072025287,STM4340,STM3359,STM1566,STM2472,STM2252,STM4301,STM3599,STM4325,STM0627,,,,,,,,,,,,
10,0.338782624803668,0.0935824890872205,STM4340,STM1469,STM0761,STM1468,STM4300,STM2252,STM4301,STM3599,STM4325,STM0627,,,,,,,,,,,
16,0.281825627810289,0.042231288501744,STM2421,STM2285,STM4568,STM1620,STM0974,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,
17,0.286005956871752,0.0428577066312829,STM2421,STM2285,STM4568,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,
17,0.281825627810284,0.0422312885017352,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1620,STM0974,STM2252,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,
17,0.28181294003896,0.0422293872518994,STM2421,STM2285,STM1750,STM1620,STM0974,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM4569,STM4301,STM3599,STM4325,STM0627,,,,
17,0.285333655075614,0.0380014019614977,STM3646,STM2421,STM2285,STM4568,STM1135,STM0974,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,
18,0.281825627810292,0.04223128850174,STM2927,STM2285,STM1620,STM0974,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,,
18,0.28181294003896,0.0422293872518987,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM1750,STM1620,STM0974,STM2252,STM1211,STM2317,STM3179,STM4569,STM4301,STM3599,STM4325,STM0627,,,
19,0.286005956871752,0.0428577066312775,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM4567,STM1750,STM1570,STM1620,STM4036,STM2252,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,
19,0.28600595687175,0.0428577066312795,STM2927,STM2285,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM2332,STM3968,STM4301,STM3599,STM4325,STM0627,STM4559_S,,
19,0.281825627810289,0.0422312885017384,STM2927,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM1620,STM0974,STM2252,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM4559_S,,
19,0.289799564619679,0.0385961822150291,STM3646,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1135,STM1570,STM4036,STM2252,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,
19,0.285333655075614,0.0380014019615,STM3646,STM2927,STM0413,STM2285,STM1135,STM0974,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM4559_S,,
19,0.285333655075614,0.0380014019615022,STM3646,STM2927,STM2285,STM1135,STM0974,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,
20,0.286005956871756,0.0428577066312783,STM2927,STM1469,STM0761,STM1468,STM4300,STM2285,STM1570,STM1620,STM4036,STM2252,STM1211,STM2317,STM3179,STM2332,STM3968,STM4301,STM3599,STM4325,STM0627,STM4559_S,
20,0.285508435520721,0.0380246796289914,STM3646,STM2927,STM0413,STM1469,STM0761,STM1468,STM4300,STM2285,STM1135,STM0974,STM2252,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM4559_S,
20,0.287738505641318,0.025441896216506,STM0051,STM2421,STM0661,STM2285,STM2009,STM1620,STM0974,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM4569,STM4301,STM3599,STM4325,STM0627,STM3334,
21,0.281825627810289,0.0422312885017443,STM2421,STM1469,STM0761,STM1468,STM4300,STM2285,STM4567,STM1620,STM0974,STM2252,STM1211,STM2317,STM3179,STM3968,STM3885,STM3793,STM4301,STM3599,STM4325,STM0627,STM3334
21,0.289799564619672,0.0385961822150257,STM3646,STM2927,STM1469,STM0761,STM1468,STM4300,STM2285,STM1135,STM1570,STM4036,STM2252,STM1211,STM2317,STM3179,STM2332,STM3968,STM4301,STM3599,STM4325,STM0627,STM4559_S
21,0.289619492526049,0.0385721997934351,STM3646,STM2927,STM2421,STM2285,STM4567,STM1135,STM1570,STM4036,STM3359,STM1566,STM2472,STM2252,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S
