Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,
5,0.585564715676469,5.5501473343956,b1849,b3115,b2296,b2029,b0721,
5,0.744500050921161,2.14875092998469,b1849,b3115,b2296,b0474,b0721,
6,0.744500050921161,2.14875092998468,b1611,b4122,b1612,b1702,b2297,b2458
