Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.416031066965085,4.96117462359087,b0474,b2518,b1241,b0351,b0871,b2779,b2925,b2097,b0907,b2690,b0675,b0822,b0726,b1727,b0114,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.688364421694832,0.492360197256663,b2930,b4232,b3697,b3925,b3115,b1849,b2296,b2779,b3236,b0907,b1302,b2662,b3946,b2210,b0825,b4014,b2976,b0726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.407827067920589,4.21632845482914,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b3708,b0871,b2779,b2925,b2097,b3617,b2690,b2797,b3117,b1814,b4471,b3945,b0114,b2366,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.658563902268528,1.79584930565556,b1478,b1241,b1278,b3708,b3008,b0871,b2779,b2925,b2097,b3236,b2690,b2797,b3117,b1814,b4471,b0675,b0822,b4381,b2868,b0114,b1539,b2492,b0904,b1533,b3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.630821191921022,2.14124693858934,b3399,b2502,b2744,b3708,b3008,b0871,b2925,b2097,b3124,b3236,b2690,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b3945,b0114,b0755,b3612,b1539,b2492,b0904,b1380,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.523326951180345,0.391662783421232,b2836,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.525552009512159,0.393338627766809,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b3449,b0261,b2406,b0112,b0114,b1539,b2492,b0904,b1533,b0494,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.524605968671658,0.357000036996197,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b3617,b3124,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0112,b0452,b0114,b1539,b2492,b0904,b1533,b0514,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.524605968671633,0.357000036899635,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b3617,b0030,b2407,b1238,b3124,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0112,b0452,b0114,b2366,b2492,b0904,b1533,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.466675861774944,0.349264577940289,b2836,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2779,b2926,b2407,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.525552009512159,0.393338627763981,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b3617,b0030,b2407,b1238,b3124,b1982,b2797,b3117,b1814,b4471,b2440,b0261,b4381,b2239,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,
31,0.525552009512145,0.393338627703194,b3399,b1241,b0351,b4069,b2744,b3708,b3115,b1849,b2296,b3617,b0160,b1238,b3124,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3821,b0514,,,,,,,,,,,,,,,,,,,,,,,
31,0.468537588204627,0.350667352713231,b3399,b4382,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b2779,b3617,b0160,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3821,,,,,,,,,,,,,,,,,,,,,,,
31,0.468537588204655,0.350667352832971,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b2779,b2926,b2407,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b2440,b0261,b2239,b2406,b0112,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,
31,0.468537588204654,0.350667352929044,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b2779,b3617,b0030,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b0112,b0114,b2366,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,
31,0.468537588204668,0.350667352784107,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b2779,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b2406,b0112,b0114,b1539,b2492,b0904,b1533,b3825,b0494,b3662,,,,,,,,,,,,,,,,,,,,,,,
31,0.467746146188728,0.318306312669114,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2926,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b2406,b0112,b0452,b0114,b0755,b3612,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,
31,0.467746146188732,0.318306312590686,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b2779,b1779,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0112,b0452,b0114,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,
32,0.468537588204662,0.350667352830001,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2926,b3617,b2407,b1238,b3124,b1982,b2797,b3117,b1814,b4471,b3449,b0261,b4381,b2406,b0112,b0114,b0755,b3612,b1539,b2492,b0904,b1533,b0494,b3662,,,,,,,,,,,,,,,,,,,,,,
32,0.468537588204641,0.350667352820444,b3399,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b2779,b3617,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b2440,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b1539,b2492,b0904,b1533,b0494,b3662,,,,,,,,,,,,,,,,,,,,,,
32,0.468537588204643,0.350667352879306,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b2779,b2926,b1238,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b2440,b0675,b2361,b0261,b4381,b2239,b2406,b0112,b0114,b1539,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,
32,0.470394200444142,0.345902728782363,b3399,b4382,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b2779,b2926,b0160,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b3449,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b1539,b2492,b0904,b1533,b0494,,,,,,,,,,,,,,,,,,,,,,
32,0.467746146188719,0.31830631262104,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b2297,b2458,b2779,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b4374,b2361,b2291,b0261,b0411,b0112,b0452,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,
32,0.676140773701225,0.0775990989152504,b2836,b4382,b4384,b3708,b3008,b0871,b2779,b2926,b0030,b2407,b0583,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b1600,b4141,b1798,b3662,b0221,,,,,,,,,,,,,,,,,,,,,,
32,0.761675554947268,0.00106063321286774,b0586,b4384,b3708,b3008,b3752,b0871,b2407,b1238,b3124,b0121,b1982,b2797,b3117,b1814,b4471,b0261,b1701,b1805,b4381,b2406,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b0514,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,
33,0.468537588204627,0.350667352747604,b3399,b4382,b1241,b0351,b4069,b2502,b4384,b2744,b3708,b3115,b1849,b2296,b2779,b2926,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0675,b2361,b2291,b0261,b2406,b0112,b0114,b1539,b2492,b0904,b1533,b3821,,,,,,,,,,,,,,,,,,,,,
33,0.634063193810187,0.125939593193676,b2836,b4382,b4069,b4384,b3708,b3008,b2297,b2458,b2779,b2926,b0030,b2407,b0583,b1982,b2797,b3117,b1814,b4471,b2440,b0261,b2406,b0112,b0114,b1539,b2492,b0904,b2947,b2578,b1533,b3927,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,
33,0.606254328244659,0.11678531568551,b2836,b4382,b4069,b4384,b3708,b3008,b2930,b4232,b3697,b3925,b2297,b2458,b2779,b0030,b2407,b0583,b2690,b1982,b2797,b3117,b1814,b4471,b0261,b3945,b2406,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b3662,,,,,,,,,,,,,,,,,,,,,
33,0.680057184405845,0.0780485762442617,b4384,b3708,b3008,b0871,b2779,b2926,b0030,b2407,b1238,b0121,b1982,b2797,b3117,b1814,b4471,b0596,b0261,b1701,b1805,b4381,b2406,b0112,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,
33,0.676140773701362,0.0775990989410749,b2836,b3399,b0586,b2502,b2744,b3708,b3008,b0871,b2779,b2926,b0120,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b0494,b4141,b1798,,,,,,,,,,,,,,,,,,,,,
33,0.676382984010452,0.0728170458443975,b4384,b3708,b3008,b3752,b0871,b2779,b2407,b1238,b1779,b0120,b1982,b2797,b3117,b1814,b4471,b2440,b0261,b4381,b2406,b0112,b0452,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b0594,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,
33,0.728412221851052,0.00769554872758626,b4382,b4069,b4384,b3708,b3008,b3752,b2297,b2458,b2925,b2097,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b2440,b0596,b0261,b2406,b0114,b2366,b2492,b0904,b2578,b1533,b3927,b0494,b0514,b3662,,,,,,,,,,,,,,,,,,,,,
33,0.457177079235754,0.342164812764666,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b2779,b3617,b0030,b1238,b2883,b1779,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0112,b2868,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,
34,0.465020870180839,0.348035337526746,b2066,b1241,b0351,b4069,b4384,b2744,b3708,b0910,b3752,b3115,b1849,b2296,b2779,b3617,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b2498,b4374,b2361,b2291,b0261,b0411,b0112,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,
34,0.606254328244616,0.116785315669176,b2836,b4069,b4384,b2744,b3708,b3008,b2297,b2458,b2779,b2925,b2097,b0030,b2407,b2690,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b3945,b0114,b2366,b2492,b0904,b0591,b2578,b1533,b3927,b3662,,,,,,,,,,,,,,,,,,,,
35,0.509880875473453,0.381599614477601,b2836,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b3617,b0030,b3124,b2883,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b4381,b2406,b0112,b2868,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b0514,b3662,,,,,,,,,,,,,,,,,,,
