Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,
14,0.426448128141462,0.0293819917301972,STM2927,STM3747,STM2421,STM4275,STM2555,STM4568,STM4570,STM2458,STM0974,STM0152,STM0150,STM4569,STM2338,STM2466,,,,,,,,
19,0.284478807713814,0.0121649776018448,STM2927,STM1463,STM3747,STM2421,STM4275,STM2555,STM4568,STM2458,STM1620,STM2167,STM0974,STM0152,STM1211,STM2317,STM4569,STM1480,STM2338,STM2466,STM0208,,,
22,0.0848128589197596,0.00584439756779422,STM2927,STM3747,STM2421,STM4275,STM2555,STM3554,STM2285,STM3526,STM1750,STM4570,STM2283,STM1620,STM2167,STM3553,STM0974,STM0152,STM1211,STM2317,STM3179,STM4569,STM2338,STM2466
