Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,
3,0.262339959302873,0.239453158911244,YPO2066,YPO3285,YPO0463,,,,,,
5,0.262339959302874,0.239453158912208,YPO1109,YPO2074,YPO3520,YPO1133,YPO0442,,,,
7,0.262339959302873,0.239453158911244,YPO1541,YPO3992,YPO0347,YPO0463,YPO2533,YPO1133,YPO0442,,
3,0.262339959302874,0.211437251697129,YPO1541,YPO3285,YPO0463,,,,,,
7,0.278161210961955,0.0609078974684263,YPO1541,YPO3992,YPO0347,YPO2552,YPO0463,YPO2533,YPO0078,,
6,0.262339959302874,0.211437251697349,YPO1541,YPO1109,YPO0463,YPO2067,YPO3376,YPO0914,,,
6,0.262339959302874,0.211437251697349,YPO2066,YPO1114,YPO1109,YPO0463,YPO4056,YPO3418,,,
8,0.278161210961935,0.0609078974676204,YPO2157,YPO1541,YPO3992,YPO0347,YPO1114,YPO2552,YPO0463,YPO4056,
3,0.249311213825487,0.386484558057865,YPO3285,YPO0463,YPO1149,,,,,,
4,0.262339959302874,0.115500456625115,YPO2157,YPO1109,YPO2074,YPO0920,,,,,
5,0.262339959302874,0.21143725170053,YPO2066,YPO1109,YPO0463,YPO3376,YPO0914,,,,
6,0.236173775787162,0.534742569486203,YPO2552,YPO1109,YPO0463,YPO3376,YPO0078,YPO1149,,,
6,0.256683915770385,0.23429055427361,YPO3992,YPO0347,YPO2552,YPO3376,YPO3520,YPO0914,,,
7,0.256683915770385,0.23429055427361,YPO3992,YPO0347,YPO3080,YPO3830,YPO3376,YPO0920,YPO0442,,
4,0.260990624162733,0.254680613765194,YPO2066,YPO2157,YPO1109,YPO0463,,,,,
8,0.262339959302874,0.0841366132911562,YPO2066,YPO3992,YPO0347,YPO1114,YPO3516,YPO2552,YPO0463,YPO3376,
9,0.249311213825376,0.386484558053568,YPO4078,YPO1177,YPO1569,YPO1617,YPO2552,YPO1109,YPO0463,YPO2303,YPO1149
5,0.262339959302873,0.0443248978344796,YPO2066,YPO1109,YPO0463,YPO3376,YPO0442,,,,
6,0.262339959302874,0.1114418077029,YPO1114,YPO1109,YPO0463,YPO4056,YPO3418,YPO1149,,,
6,0.253708340646475,0.23157457130607,YPO2157,YPO1541,YPO3992,YPO0347,YPO0463,YPO2533,,,
