Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,
2,0.0398867392974867,0.024186840304254,Rv3356c,Rv2945c,,,,,,,,
3,0.0208870018304751,0.00274733425314722,Rv3356c,Rv1236,Rv2920c,,,,,,,
3,0.0412717055202142,0.014666029706565,Rv3356c,Rv1098c,Rv2930,,,,,,,
4,0.0412717055340916,0.0146659355782993,Rv3356c,Rv2332,Rv1240,Rv2930,,,,,,
4,0.0219710798601726,0.00171557576232101,Rv1448c,Rv3010c,Rv3356c,Rv2920c,,,,,,
4,0.0219413845373382,0.00207367329111957,Rv1445c,Rv3010c,Rv3356c,Rv2920c,,,,,,
4,0.0207525213837294,0.00495823428558689,Rv3356c,Rv2476c,Rv1236,Rv2780,,,,,,
4,0.0407803868252104,0.0150882210916095,Rv1448c,Rv1445c,Rv3356c,Rv1098c,,,,,,
5,0.0218186950827329,0.00438631824661739,Rv1445c,Rv3010c,Rv3356c,Rv2476c,Rv2780,,,,,
5,0.0218438573497367,0.00408378699585565,Rv1448c,Rv3010c,Rv3356c,Rv2476c,Rv2780,,,,,
5,0.0407803868252104,0.0150882210916095,Rv1448c,Rv3356c,Rv1121,Rv1447c,Rv1098c,,,,,
5,0.0407803868252104,0.0150882210916095,Rv1122,Rv1844c,Rv1448c,Rv3356c,Rv1098c,,,,,
5,0.0219413845373382,0.00207367329111957,Rv3010c,Rv3356c,Rv1121,Rv1447c,Rv2920c,,,,,
5,0.0407803867983219,0.0150882359529099,Rv1448c,Rv1445c,Rv3356c,Rv2332,Rv1240,,,,,
5,0.0208825208693918,0.00282096186287201,Rv3356c,Rv0753c,Rv1236,Rv2332,Rv0211,,,,,
5,0.0219413845373382,0.00207367329111957,Rv1122,Rv1844c,Rv3010c,Rv3356c,Rv2920c,,,,,
6,0.0218186950827329,0.00438631824661739,Rv1122,Rv1844c,Rv3010c,Rv3356c,Rv2476c,Rv2780,,,,
6,0.019125826262095,0.0115976366938064,Rv1448c,Rv3356c,Rv1236,Rv1121,Rv1447c,Rv0084,,,,
6,0.0218186950827329,0.00438631824661739,Rv3010c,Rv3356c,Rv2476c,Rv1121,Rv1447c,Rv2780,,,,
6,0.0407803867983219,0.0150882359529099,Rv1448c,Rv3356c,Rv2332,Rv1240,Rv1121,Rv1447c,,,,
6,0.019125826262095,0.0115976366938064,Rv1122,Rv1844c,Rv1448c,Rv3356c,Rv1236,Rv0084,,,,
