Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.561440406956262,2.15197132352458,b4382,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b3617,b2407,b1982,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.561440406956248,2.15197132352453,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b3617,b2407,b1982,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.561440406956248,2.15197132352465,b1241,b0351,b4069,b4384,b2744,b3752,b2297,b2458,b3617,b2407,b1982,b0261,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.561440406956248,2.15197132352063,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b3617,b1238,b1982,b0675,b2361,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.561440406956248,2.15197132352038,b3399,b1241,b0351,b4069,b2502,b2744,b3115,b1849,b2296,b3617,b1238,b1982,b0675,b2361,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.56144040695624,2.15197132352527,b3399,b1241,b0351,b4069,b2502,b4384,b2744,b2297,b2458,b3617,b2407,b1982,b0675,b2361,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.561440406956248,2.15197132352025,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b1982,b3616,b3589,b0675,b2361,b2291,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.561440406956248,2.1519713235215,b1241,b0351,b4069,b4384,b2744,b3752,b2297,b2458,b3617,b2407,b1982,b4374,b2361,b2291,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.491727995334298,1.85903423507914,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b2779,b2926,b3617,b1982,b0675,b2361,b0261,b4381,b0112,b2868,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.561394384876157,2.1530513239655,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b2883,b0261,b0411,b4381,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.379749428549095,1.45606829716809,b4382,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b2407,b1779,b1982,b3616,b3589,b3665,b2406,b0112,b0114,b0529,b2492,b0904,b1511,b3662,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.379749428549019,1.45606829704964,b4382,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b2926,b3617,b2407,b1982,b3665,b2406,b0112,b0114,b0529,b2492,b0904,b3662,b1518,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
