Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,
6,0.799896958264075,0.473383819111923,b0008,b2464,b2029,b1907,b0112,b1473,,
8,0.799896958264075,0.473383819306585,b0008,b2464,b1852,b1907,b0112,b0837,b0124,b1473
