Deletion size,Max growth rate,Min production rate,Deleted genes,,,,
3,0.819444025148273,0.484951890747405,b0008,b2464,b2029,,
5,0.819444025148273,0.484951890745787,b0008,b0767,b2464,b0837,b0124
