Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,
6,0.211483381819197,0.724950475188562,PHATR_10581,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_42245,Phatr3_EG02247,,,,
6,0.216752894065647,0.699160240043658,PHATR_10581,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_48078,Phatr3_EG02247,Phatr3_EG02292,,,,
6,0.216752894065647,0.699160240043658,PHATR_10581,PHATRDRAFT_31599,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_48078,Phatr3_EG02247,,,,
6,0.211483381819197,0.724950475188562,PHATR_10581,PHATRDRAFT_14792,PHATRDRAFT_19708,PHATRDRAFT_859,PHATRDRAFT_42245,Phatr3_EG02247,,,,
7,0.211483381819198,0.724950475189333,PHATR_10581,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_42245,Phatr3_EG02247,,,
7,0.216752894065647,0.699160240043658,PHATR_10581,PHATRDRAFT_14792,PHATRDRAFT_19708,PHATRDRAFT_1341,PHATRDRAFT_48078,Phatr3_EG02247,PHATRDRAFT_43604,,,
7,0.216752894065646,0.699160240043578,PHATR_10581,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_20310,Phatr3_EG02247,Phatr3_EG02292,,,
7,0.228121036420223,0.643521871484401,PHATR_10581,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_31599,PHATRDRAFT_19708,PHATRDRAFT_859,Phatr3_EG02247,,,
8,0.206464004320859,0.749516491916033,PHATR_10581,PHATRDRAFT_42015,PHATRDRAFT_28191,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_42245,Phatr3_EG02247,PHATRDRAFT_23365,,
8,0.211483381819206,0.724950475189015,PHATR_10581,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_8982,PHATRDRAFT_1341,PHATRDRAFT_48078,Phatr3_EG02247,PHATRDRAFT_43604,,
8,0.211483381819309,0.724950475186604,PHATR_10581,PHATRDRAFT_14792,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_859,PHATRDRAFT_51970,Phatr3_EG02247,Phatr3_EG02292,,
8,0.211483381819422,0.724950475189724,PHATR_10581,PHATRDRAFT_14792,PHATRDRAFT_54478,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_859,Phatr3_EG02247,Phatr3_EG02292,,
8,0.216752894065647,0.699160240043658,PHATR_10581,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_22803,PHATRDRAFT_859,PHATRDRAFT_39914,PHATRDRAFT_48307,Phatr3_EG02247,,
8,0.216752894065656,0.699160240043319,PHATR_10581,PHATRDRAFT_14792,PHATRDRAFT_19708,PHATRDRAFT_859,PHATRDRAFT_25932,PHATRDRAFT_11014,Phatr3_EG02247,Phatr3_EG02292,,
8,0.216752894065757,0.69916024004442,PHATR_10581,PHATRDRAFT_14792,PHATRDRAFT_19708,PHATRDRAFT_1341,PHATRDRAFT_859,PHATRDRAFT_51970,Phatr3_EG02247,PHATRDRAFT_43604,,
8,0.222291716609798,0.672051936815866,PHATR_10581,PHATRDRAFT_14792,PHATRDRAFT_42015,PHATRDRAFT_28191,PHATRDRAFT_859,PHATRDRAFT_42245,Phatr3_EG02247,PHATRDRAFT_16649,,
8,0.228121036420112,0.643521871482569,PHATR_10581,PHATRDRAFT_14401,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_859,PHATRDRAFT_39914,PHATRDRAFT_48307,Phatr3_EG02247,,
9,0.211483381819206,0.724950475189015,PHATR_10581,PHATRDRAFT_14792,PHATRDRAFT_29016,PHATRDRAFT_41969,PHATRDRAFT_859,Phatr3_EG02247,PHATRDRAFT_8945,PHATRDRAFT_41686,Phatr3_EG02292,
10,0.222291716609802,0.672051936814728,PHATR_10581,PHATRDRAFT_42015,PHATRDRAFT_54478,PHATRDRAFT_31599,PHATRDRAFT_8982,PHATRDRAFT_859,Phatr3_EG02247,PHATRDRAFT_8945,PHATRDRAFT_41686,PHATRDRAFT_16649
