Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.712720578730198,0.181143921932789,b2836,b3399,b4382,b0586,b4069,b4384,b2744,b3708,b3008,b3115,b1849,b2296,b0160,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b2291,b0261,b0507,b2406,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b0221,,,,,,,,,,,,
39,0.508831733647144,0.507539301044665,b3553,b4382,b0238,b0125,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b3115,b1849,b2296,b3617,b2883,b1982,b0477,b2797,b3117,b1814,b4471,b1033,b0261,b2406,b0112,b0452,b2868,b4064,b4464,b0114,b0509,b3125,b2366,b2492,b0904,b1533,b3662,b0221,,,,,,,,
47,0.401182523217174,0.223527909535176,b3553,b1478,b3399,b1241,b4069,b2744,b3708,b3115,b1849,b2296,b0160,b3844,b1238,b1004,b3713,b1109,b0046,b3236,b1779,b1982,b2797,b3117,b1814,b4471,b1033,b0675,b2361,b0261,b2799,b3945,b1602,b0153,b2913,b4381,b0590,b2406,b0452,b2366,b2492,b0904,b1533,b1380,b4141,b1798,b0606,b2285,b1007
