Deletion size,Max growth rate,Min production rate,Deleted genes,,,
3,0.307380062441972,0.25560951394932,PHATRDRAFT_26290,PHATRDRAFT_54476,PHATRDRAFT_45451,
3,0.307380062441972,0.25560951394889,PHATRDRAFT_30145,PHATRDRAFT_54476,PHATRDRAFT_45451,
4,0.307380062441992,0.255609513949428,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_54476,PHATRDRAFT_45451
