Deletion size,Max growth rate,Min production rate,Deleted genes,,
3,0.273847302651058,0.0839453490470249,PHATRDRAFT_6834,PHATRDRAFT_51242,PHATRDRAFT_22117
3,0.273847302651056,0.0839453490470243,PHATRDRAFT_6834,PHATRDRAFT_35566,PHATRDRAFT_51242
