Deletion size,Max growth rate,Min production rate,Deleted genes,,
2,0.050886231799646,0.0427369437271903,Rv1448c,Rv1445c,
3,0.050886231799646,0.0427369437271903,Rv1122,Rv1844c,Rv1448c
3,0.050886231799646,0.0427369437271903,Rv1448c,Rv1121,Rv1447c
