Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,
3,0.266743134136317,0.039834418013716,YLR027C,YHR208W,YGR244C,,,,,,,,,,,,,,,,,,,,
6,0.236588768856326,0.0600113490774123,YMR189W,YLR348C,YJL045W,YKL148C,YDL085W,YMR145C,,,,,,,,,,,,,,,,,
6,0.23205808340439,0.0399581344989378,YLR348C,YKL085W,YJL045W,YKL148C,YDL085W,YMR145C,,,,,,,,,,,,,,,,,
6,0.243055507271636,0.0362970021924356,YLR027C,YLR348C,YJL045W,YKL148C,YDL085W,YMR145C,,,,,,,,,,,,,,,,,
6,0.266324778435566,0.0397719436832597,YLR027C,YKR039W,YHR208W,YNL268W,YJL045W,YKL148C,,,,,,,,,,,,,,,,,
6,0.236588768856325,0.0600113491911171,YBR263W,YLR348C,YJL045W,YKL148C,YDL085W,YMR145C,,,,,,,,,,,,,,,,,
8,0.159321293732565,0.0237924511897984,YGR087C,YLR044C,YLR134W,YLR027C,YHR208W,YGR244C,YLR348C,YKL085W,,,,,,,,,,,,,,,
9,0.159321293732565,0.0237924430510656,YGR087C,YLR044C,YLR134W,YLR027C,YHR208W,YLR348C,YKL085W,YJL045W,YKL148C,,,,,,,,,,,,,,
9,0.216570962187138,0.0323418950905859,YOL086C,YDL168W,YGL256W,YBR145W,YLR027C,YHR208W,YKL085W,YJL045W,YKL148C,,,,,,,,,,,,,,
9,0.212430624785952,0.03172359057676,YOL086C,YDL168W,YGL256W,YBR145W,YMR083W,YLR027C,YHR208W,YJL045W,YKL148C,,,,,,,,,,,,,,
9,0.218449458826438,0.0326224236561461,YOL086C,YDL168W,YGL256W,YBR145W,YLR027C,YHR208W,YLR348C,YJL045W,YKL148C,,,,,,,,,,,,,,
10,0.143963801176574,0.0214990138501324,YGR087C,YLR044C,YLR134W,YLR027C,YHR208W,YKL085W,YJL045W,YKL148C,YDL085W,YMR145C,,,,,,,,,,,,,
13,0.162413565541247,0.0156016102171372,YHR104W,YGR087C,YLR044C,YLR134W,YOR348C,YKR039W,YIL053W,YER062C,YMR250W,YGR244C,YKL174C,YLR348C,YKL085W,,,,,,,,,,
14,0.160451209445409,0.0105983329830803,YHR104W,YGR087C,YLR044C,YLR134W,YOR348C,YLR027C,YKR039W,YLL043W,YMR189W,YMR250W,YLR348C,YKL085W,YJL045W,YKL148C,,,,,,,,,
14,0.162413565544716,0.0156016065849909,YHR104W,YGR087C,YLR044C,YLR134W,YDL210W,YOR348C,YKR039W,YIL053W,YER062C,YKL174C,YLR348C,YKL085W,YJL045W,YKL148C,,,,,,,,,
15,0.134714309248485,0.0279212619061894,YHR104W,YGR087C,YLR044C,YLR134W,YDL210W,YOR348C,YFL055W,YPL265W,YCL025C,YKR039W,YOL020W,YDR536W,YGR244C,YLR348C,YKL085W,,,,,,,,
16,0.133355716935594,0.0507034202418458,YHR104W,YGR087C,YLR044C,YLR134W,YOR348C,YFL055W,YPL265W,YCL025C,YKR039W,YOL020W,YDR536W,YMR250W,YLR348C,YKL085W,YJL045W,YKL148C,,,,,,,
17,0.155011437988483,0.0194183574890452,YHR104W,YGR087C,YLR044C,YLR134W,YDR380W,YFL055W,YPL265W,YCL025C,YKR039W,YLL043W,YOR323C,YDR536W,YMR250W,YGR244C,YLR348C,YKL085W,YEL046C,,,,,,
18,0.155011437988482,0.0194183566750857,YHR104W,YGR087C,YLR044C,YLR134W,YDR380W,YFL055W,YPL265W,YCL025C,YKR039W,YLL043W,YDR536W,YDR300C,YMR250W,YLR348C,YKL085W,YJL045W,YKL148C,YEL046C,,,,,
18,0.155566357596502,0.0114069410237932,YHR104W,YGR087C,YLR044C,YLR134W,YDR380W,YFL055W,YPL265W,YCL025C,YKR039W,YLL043W,YDR536W,YBR263W,YDR300C,YMR250W,YLR348C,YKL085W,YJL045W,YKL148C,,,,,
18,0.155566357596503,0.0114069387213446,YHR104W,YGR087C,YLR044C,YLR134W,YDR380W,YFL055W,YPL265W,YCL025C,YKR039W,YIL053W,YER062C,YOR323C,YDR536W,YBR263W,YMR250W,YGR244C,YLR348C,YKL085W,,,,,
19,0.155011437988482,0.0194183559294701,YHR104W,YGR087C,YLR044C,YLR134W,YDR380W,YFL055W,YPL265W,YCL025C,YKR039W,YIL053W,YER062C,YOR323C,YDR536W,YMR250W,YLR348C,YKL085W,YJL045W,YKL148C,YEL046C,,,,
20,0.155566357596503,0.0114069421647453,YHR104W,YGR087C,YLR044C,YLR134W,YDR380W,YDL210W,YOR348C,YFL055W,YPL265W,YCL025C,YKR039W,YLL043W,YOR323C,YDR536W,YBR263W,YLR348C,YKL085W,YBR006W,YJL045W,YKL148C,,,
23,0.155522555926985,0.0102727779680132,YHR104W,YOL086C,YDL168W,YMR303C,YGL256W,YBR145W,YGR087C,YLR044C,YLR134W,YFL055W,YLR209C,YPL265W,YCL025C,YKR039W,YIL053W,YER062C,YOR323C,YDR536W,YBR263W,YMR250W,YGR244C,YLR348C,YKL085W
