Deletion size,Max growth rate,Min production rate,Deleted genes,,,
2,0.359606707775763,0.0483084925522853,PHATRDRAFT_10454,PHATRDRAFT_42245,,
2,0.359606707775761,0.048308492552285,PHATRDRAFT_10454,PHATRDRAFT_48078,,
4,0.359606707775842,0.0596943412100378,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_48078,PHATRDRAFT_10693
